Dates	Flow	pMeHg				
10d	6n	6n				
2010-01-21	5879.86	1.74				
2010-02-17	162.07	0.06				
2010-03-09	355.85	0.06				
2010-04-06	427.54	0.33				
2010-05-04	1613.77	0.73				
2010-06-01	22.19	0.12				
2010-12-08	129.12	0.08				
2010-12-20	543.85	0.30				
2010-12-21	1420.36	1.28				
2010-12-23	789.78	0.34				
2010-12-30	1616.39	0.92				
2011-01-04	932.98	0.43				
2011-01-26	87.99	0.07				
2011-02-03	56.32	0.04				
2011-02-17	1375.65	1.20				
2011-02-18	2070.18	0.83				
2011-02-28	339.87	0.09				
2011-03-15	1758.40	0.60				
2011-03-17	2698.60	1.05				
2011-03-19	4103.50	1.28				
2011-03-22	4997.96	1.25				
2011-03-25	12222.26	2.35				
2011-04-04	3925.75	0.74				
2011-04-26	99.31	0.05				
2011-05-24	28.99	0.13				
2011-10-26	0.001	0.10				
2011-12-29	9.40	0.02				
2012-01-23	157.04	0.04				
2012-01-24	686.44	0.40				
2012-02-15	31.62	0.16				
2012-03-06	29.92	0.07				
2012-03-14	23.90	0.10				
2012-03-15	320.08	0.20				
2012-03-16	294.69	0.21				
2012-03-17	274.38	0.13				
2012-03-18	389.86	0.16				
2012-03-20	217.83	0.10				
2012-03-28	1718.12	3.28				
2012-03-29	1228.51	0.90				
2012-04-13	510.65	0.26				
2012-12-01	1886.84	1.98				
2012-12-02	1276.58	0.44				
2012-12-03	2711.21	1.60				
2012-12-05	305.35	0.16				
2012-12-22	3602.78	1.60				
2012-12-23	2350.65	0.99				
2012-12-24	7037.66	1.98				
2012-12-27	930.45	0.21				
2013-01-16	99.31	0.06				
2013-02-04	59.47	0.03				
2013-02-21	47.56	0.06				
2013-04-01	6.82	0.23				
2014-03-02	204.19	0.26				
2014-03-03	101.91	0.30				
2014-03-05	39.00	0.12				
2014-04-02	100.91	1.64				
2014-04-03	194.81	0.30				
2014-12-05	147.66	1.07				
2014-12-12	9946.37	1.21				
2014-12-13	1214.71	0.42				
2014-12-20	1459.29	0.79				
2015-02-07	4907.69	2.24				
2015-02-08	823.97	0.50				
2015-02-09	1961.88	0.76				
2015-02-10	866.57	0.25				
2016-01-07	16.05	0.54				
2016-01-08	140.51	0.34				
2016-01-09	176.34	0.29				
2016-01-18	534.64	0.30				
2016-01-19	790.48	0.84				
2016-01-20	1175.68	1.04				
2016-03-06	2240.27	9.47				
2016-03-07	2424.01	2.22				
2016-03-11	3488.93	1.09				
2016-03-12	3046.06	1.10				
2016-03-13	3391.87	1.72				
2016-03-17	2214.81	0.68				
2016-04-07	271.59	0.52				
2016-12-12	164.34	0.46				
2016-12-16	2650.34	2.96				
2016-12-17	1068.74	0.65				
2017-01-05	1138.19	0.83				
2017-01-08	3194.36	1.69				
2017-01-09	12667.84	1.92				
2017-01-11	16016.69	1.71				
2017-01-14	3672.03	0.71				
2017-01-19	8889.83	1.68				
2017-01-20	6859.00	1.28				
2017-01-21	6983.61	0.88				
2017-01-24	5149.30	0.61				
2017-02-02	3483.06	0.42				
2017-02-08	9238.40	1.09				
2017-02-10	11745.16	1.52				
2017-02-21	15371.74	1.70				
2017-03-16	3298.35	0.35				
2017-04-04	574.51	0.14				
2017-04-26	384.45	1.63				
