Dates	Flow	fMeHg			
10d	6n	6n			
2010-01-21	7215	0.12			
2010-02-17	346	0.36			
2010-03-09	377	0.29			
2010-04-06	314	0.15			
2010-05-04	435	0.21			
2010-06-01	17	0.145			
2010-12-30	892	0.14			
2011-01-04	843	0.13			
2011-01-26	51.5	0.505			
2011-02-03	114	0.25			
2011-02-17	353	0.12			
2011-02-18	464	0.11			
2011-02-28	551.7	0.32			
2011-03-15	1567	0.045			
2011-03-17	2432	0.11			
2011-03-19	4769	0.09			
2011-03-21	12001	0.10			
2011-03-22	6704	0.05			
2011-03-25	9847	0.05			
2011-04-04	467	0.06			
2011-04-26	133	0.630075188			
2012-03-16	191	0.12			
2012-03-17	173	0.22			
2012-03-18	166	0.24			
2012-03-20	155	0.17			
2012-03-28	180	0.16			
2012-03-29	156	0.12			
2012-04-04	312	0.25			
2012-04-13	207	0.15			
2012-12-02	312	0.09			
2012-12-03	1982	0.08			
2012-12-05	616	0.08			
2012-12-22	184	0.11			
2012-12-23	2350	0.08			
2012-12-27	1448	0.07			
2013-01-16	190	0.17			
2013-02-04	170	0.24			
2013-02-21	71.4	0.14			
2013-04-01	19.7	0.48			
2014-12-20	1298.35	0.06			
2015-01-16	28.3	0.10			
2015-01-29	104	1.12			
2015-02-08	544	0.06			
2015-02-09	724	0.06			
2015-02-10	1883	0.07			
2016-01-20	80.5	0.07			
2016-01-23	56.1	0.07			
2016-01-24	82.7	0.08			
2016-02-02	503	0.14			
2016-02-03	455	0.25			
2016-02-04	349	0.25			
2016-03-07	535	0.06			
2016-03-08	557	0.08			
2016-03-09	783	0.07			
2016-03-10	738	0.11			
2016-03-12	4185	0.09			
2016-03-13	3530	0.08			
2016-03-14	3610	0.07			
2016-03-15	2870	0.06			
2016-03-17	2660	0.05			
2016-04-06	470	0.20			
2016-12-15	2.25	0.08			
2016-12-16	18.4	0.07			
2016-12-17	432	0.09			
2017-01-09	13400.75	0.05			
2017-01-10	3990.75	0.05			
2017-01-11	10400.75	0.05			
2017-02-01	3030.73	0.02			
2017-02-08	14100.73	0.04			
2017-02-10	10400.72	0.04			
2017-02-21	11500.71	0.03			
2017-03-16	2866	0.03			
2017-04-04	268	0.12			
2017-04-26	224	0.135			
2018-03-22	47.1	0.05			
2018-04-08	219	0.12			
2019-01-30	560	0.14			
2019-02-05	1611	0.07			
2019-02-14	12719	0.04			
2019-02-27	13023	0.05			
2019-02-28	17347	0.04			
2019-03-01	8281	0.02			
2019-03-05	5567	0.025			
2019-03-07	10261	0.04			
2019-03-28	4668	0.04			
2019-04-17	948	0.095			
