Dates	Flow	pTHg
10d	6n	6n
2010-01-21	7215	241.00
2010-02-17	346	12.90
2010-03-09	377	5.48
2010-04-06	314	9.45
2010-05-04	435	7.57
2010-06-01	17	19.15
2010-12-30	892	47.50
2011-01-04	843	16.90
2011-01-26	51.5	5.695
2011-02-03	114	29.80
2011-02-17	353	82.50
2011-02-18	464	49.20
2011-02-28	551.7	11.80
2011-03-15	1567	25.54
2011-03-19	4769	248.00
2011-03-21	12001	194.00
2011-03-22	6704	84.10
2011-03-25	9847	339.00
2011-04-04	467	44.20
2011-04-26	133	22.92857143
2012-03-16	191	8.40
2012-03-17	173	10.96
2012-03-18	166	12.20
2012-03-20	155	5.26
2012-03-28	180	4.47
2012-03-29	156	56.10
2012-04-04	312	12.30
2012-04-13	207	9.41
2012-12-02	312	58.50
2012-12-03	1982	336.00
2012-12-05	616	26.80
2012-12-22	184	66.50
2012-12-23	2350	73.20
2012-12-27	1448	19.50
2013-01-16	190	6.54
2013-02-04	170	66.55
2013-02-21	71.4	8.54
2013-04-01	19.7	9.39
2014-12-20	1298.35	32.10
2015-01-16	28.3	4.60
2015-01-29	104	58.10
2015-02-08	544	256.00
2015-02-09	724	68.40
2015-02-10	1883	44.30
2016-01-20	80.5	32.50
2016-01-23	56.1	12.00
2016-01-24	82.7	7.02
2016-02-02	503	22.90
2016-02-03	455	26.55
2016-02-04	349	85.10
2016-03-07	535	185.00
2016-03-08	557	188.00
2016-03-09	783	65.10
2016-03-10	738	32.40
2016-03-12	4185	114.00
2016-03-13	3530	65.2
2016-03-14	3610	70.70
2016-03-15	2870	48.30
2016-03-17	2660	30.40
2016-04-06	470	5.68
2016-12-15	2.25	5.16
2016-12-16	18.4	38.70
2016-12-17	432	58.10
2017-01-09	13400.75	489.00
2017-01-10	3990.75	147.00
2017-01-11	10400.75	427.00
2017-02-01	3030.73	19.50
2017-02-08	14100.73	196.5
2017-02-10	10400.72	267.00
2017-02-21	11500.71	316.00
2017-03-16	2866	14.25
2017-04-04	268	6.58
2017-04-26	224	4.655
2018-03-22	47.1	4.95
2018-04-08	219	20.00
2019-01-30	560	18.20
2019-02-05	1611	89.40
2019-02-14	12719	309.00
2019-02-27	13023	302.00
2019-02-28	17347	277.00
2019-03-01	8281	111.00
2019-03-05	5567	48.9
2019-03-07	10261	140.00
2019-03-28	4668	46.20
2019-04-17	948	6.22
