Dates	Flow	wwTHg
10d	6n	6n
2010-01-21	7215	248.01
2010-02-17	346	16.26
2010-03-09	377	9.30
2010-04-06	314	15.45
2010-05-04	435	8.93
2010-06-01	17	20.02
2010-12-30	892	53.03
2011-01-04	843	25.56
2011-01-26	51.5	10.63
2011-02-03	114	34.64
2011-02-17	353	87.34
2011-02-18	464	56.61
2011-02-28	551.7	18.06
2011-03-15	1567	26.27
2011-03-19	4769	253.09
2011-03-21	12001	199.15
2011-03-22	6704	86.74
2011-03-25	9847	343.34
2011-04-04	467	45.42
2011-04-26	133	24.82
2012-03-16	191	10.43
2012-03-17	173	16.89
2012-03-18	166	17.20
2012-03-20	155	8.61
2012-03-28	180	6.30
2012-03-29	156	61.75
2012-04-04	312	17.57
2012-04-13	207	10.75
2012-12-02	312	70.10
2012-12-03	1982	346.80
2012-12-05	616	36.73
2012-12-22	184	69.49
2012-12-23	2350	84.60
2012-12-27	1448	24.71
2013-01-16	190	8.80
2013-02-04	170	68.80
2013-02-21	71.4	10.14
2013-04-01	19.7	12.06
2014-12-20	1298.35	41.87
2015-01-16	28.3	9.63
2015-01-29	104	67.20
2015-02-08	544	270.20
2015-02-09	724	75.49
2015-02-10	1883	55.80
2016-01-20	80.5	41.21
2016-01-23	56.1	18.32
2016-01-24	82.7	11.69
2016-02-02	503	27.29
2016-02-03	455	33.14
2016-02-04	349	92.58
2016-03-07	535	192.10
2016-03-08	557	198.62
2016-03-09	783	74.86
2016-03-10	738	40.85
2016-03-12	4185	122.50
2016-03-13	3530	74.28
2016-03-14	3610	76.85
2016-03-15	2870	54.78
2016-03-17	2660	33.21
2016-04-06	470	8.51
2016-12-15	2.25	11.10
2016-12-16	18.4	42.29
2016-12-17	432	70.50
2017-01-09	13400.75	499.40
2017-01-10	3990.75	153.85
2017-01-11	10400.75	435.35
2017-02-01	3030.73	20.81
2017-02-08	14100.73	202.88
2017-02-10	10400.72	273.08
2017-02-21	11500.71	321.50
2017-03-16	2866	15.90
2017-04-04	268	8.32
2017-04-26	224	6.70
2018-03-22	47.1	6.21
2018-04-08	219	22.32
2019-01-30	560	23.49
2019-02-05	1611	98.40
2019-02-14	12719	318.70
2019-02-27	13023	314.90
2019-02-28	17347	285.03
2019-03-01	8281	113.24
2019-03-05	5567	50.60
2019-03-07	10261	143.49
2019-03-28	4668	48.34
2019-04-17	948	7.71
