"Period","Ndays","Flux","Std.Err","SEP","L95","U95"
"WY 2010",160,359233.608585946,55643.9502234536,157958.218233783,144251.029687236,749668.690824774
"WY 2011",171,1600125.05277869,298409.056885177,550487.928369704,785545.714270691,2914449.81779289
"WY 2012",138,17356.5713266305,2732.50797024469,6577.86059375815,7915.61979522385,33278.0503720038
"WY 2013",165,187485.712625952,28351.6884967854,111229.26178863,54959.5685695803,473071.734080149
"WY 2014",91,134.748391864677,41.4671838462904,142.795069545488,16.8843260850347,506.53997907398
"WY 2015",314,80983.1547891793,11961.8803102956,90198.0583712572,9304.26548425694,314599.324133554
"WY 2016",214,187080.917497793,28996.1557744671,211059.468314068,21012.201167479,732877.712401674
"WY 2017",216,3499385.390281,690485.268818915,1519479.3697478,1421397.29008934,7248595.35426855
"WY 2018",213,3394.57703045477,559.894917178392,3775.53729843555,390.972728866498,13174.9739757937
"WY 2019",212,2524284.43463367,488408.680227049,1244122.30959576,907769.834308463,5647553.21870578
