"Date","Flow","Flux","Std.Err","SEP","L95","U95"
"2010-01-01",0,0,0,0,0,0
"2010-01-02",0,0,0,0,0,0
"2010-01-03",0,0,0,0,0,0
"2010-01-04",0,0,0,0,0,0
"2010-01-05",0,0,0,0,0,0
"2010-01-06",0,0,0,0,0,0
"2010-01-07",0,0,0,0,0,0
"2010-01-08",0,0,0,0,0,0
"2010-01-09",0,0,0,0,0,0
"2010-01-10",0,0,0,0,0,0
"2010-01-11",0,0,0,0,0,0
"2010-01-12",0,0,0,0,0,0
"2010-01-13",0,0,0,0,0,0
"2010-01-14",0,0,0,0,0,0
"2010-01-15",0,0,0,0,0,0
"2010-01-16",0,0,0,0,0,0
"2010-01-17",0,0,0,0,0,0
"2010-01-18",0,0,0,0,0,0
"2010-01-19",10.2,6.43578136452222e-06,1.57259779197075e-06,4.00820138857258e-06,1.74903499122858e-06,1.70628822949514e-05
"2010-01-20",109.62,6.7823225877702e-05,7.86183790945869e-06,3.96407950131468e-05,1.99168756598635e-05,0.000172151212361465
"2010-01-21",5048,0.00135477642268792,0.000205586049350917,0.000802868166602923,0.000391310110148238,0.00347132191321432
"2010-01-22",3729,0.00110751102340435,0.000155964250337934,0.000653340088849909,0.000321650516819299,0.00282892301552247
"2010-01-23",1520,0.0005878201227728,7.16385191245335e-05,0.00034427588422113,0.000172194113157843,0.00149412480489887
"2010-01-24",632,0.000300464953438522,3.43603918992859e-05,0.000175521121886826,8.8289294692252e-05,0.000762377820514843
"2010-01-25",435,0.000222362595739989,2.50306778466396e-05,0.000129819102967779,6.53857858320043e-05,0.000563978251349275
"2010-01-26",4621,0.00127675557120697,0.000189011512227782,0.000755432831597297,0.000369477948570996,0.00326787315884468
"2010-01-27",3084,0.000971829535932177,0.000131275975692804,0.000571992588220135,0.000283016859022588,0.00247849433154571
"2010-01-28",1097,0.000460245423440305,5.43538829755795e-05,0.000269201566834412,0.000135035097574445,0.00116880354788077
"2010-01-29",642,0.000303847471940568,3.47054166715471e-05,0.000177488894531258,8.92881098195941e-05,0.000770936238114935
"2010-01-30",471,0.000236948384071058,2.66961724033541e-05,0.00013833909230874,6.96720154635538e-05,0.000600985634992114
"2010-01-31",378,0.000197823771739932,2.21196649524479e-05,0.000115464327006416,5.81872460182306e-05,0.000501656032883535
"2010-02-01",321,0.00017263386179912,1.92201822587689e-05,0.000100745822024025,5.07874508880431e-05,0.000437730839381469
"2010-02-02",277,0.000152445844870341,1.69284316508649e-05,8.89560748284906e-05,4.48533365881381e-05,0.000386517237481992
"2010-02-03",253,0.00014111246160006,1.56542897542319e-05,8.2339782828854e-05,4.15205539917793e-05,0.000357773357074686
"2010-02-04",388.4,0.000202104452489702,2.25807919335037e-05,0.000117959488757232,5.94483594986443e-05,0.000512501393929891
