"Date","Flow","Conc","Std.Err","SEP","L95","U95"
"2010-01-01",0,0,0,0,0,0
"2010-01-02",0,0,0,0,0,0
"2010-01-03",0,0,0,0,0,0
"2010-01-04",0,0,0,0,0,0
"2010-01-05",0,0,0,0,0,0
"2010-01-06",0,0,0,0,0,0
"2010-01-07",0,0,0,0,0,0
"2010-01-08",0,0,0,0,0,0
"2010-01-09",0,0,0,0,0,0
"2010-01-10",0,0,0,0,0,0
"2010-01-11",0,0,0,0,0,0
"2010-01-12",0,0,0,0,0,0
"2010-01-13",0,0,0,0,0,0
"2010-01-14",0,0,0,0,0,0
"2010-01-15",0,0,0,0,0,0
"2010-01-16",0,0,0,0,0,0
"2010-01-17",0,0,0,0,0,0
"2010-01-18",0,0,0,0,0,0
"2010-01-19",10.2,0.257893340027565,0.0630168233071564,0.160615842126201,0.0700869793680607,0.68374039705606
"2010-01-20",109.62,0.252887673626228,0.0293138799227232,0.147805833500938,0.0742626480286204,0.641888070681697
"2010-01-21",5048,0.109695118199131,0.0166461311298232,0.0650075665320153,0.0316840535946326,0.281070043145548
"2010-01-22",3729,0.121393292546574,0.0170951019610576,0.0716120226906872,0.0352558254146714,0.310075721106248
"2010-01-23",1520,0.158066514888928,0.019263803009009,0.0925767714832227,0.0463034902970592,0.401774440122159
"2010-01-24",632,0.194319221163978,0.0222218415703794,0.113514495825813,0.0570991950487528,0.493051394579765
"2010-01-25",435,0.208935143090561,0.0235191905371556,0.121979925464609,0.0614374394822286,0.529922203208443
"2010-01-26",4621,0.112930385277254,0.0167182688520055,0.0668188356858181,0.0326807166731933,0.289046849051019
"2010-01-27",3084,0.128799667350646,0.0173984236691857,0.0758080016771411,0.037509126805595,0.328482757140636
"2010-01-28",1097,0.171483313979726,0.0202517689598136,0.100302087665018,0.050312865389361,0.435485711696492
"2010-01-29",642,0.193445938514212,0.0220953686291373,0.112999149076974,0.0568456998897625,0.490820223595617
"2010-01-30",471,0.205623080354389,0.0231668564644325,0.120050239656597,0.0604611611523206,0.521533489246412
"2010-01-31",378,0.213907343760261,0.0239180495510314,0.124851868265338,0.0629180160048555,0.542441934716275
"2010-02-01",321,0.219816338781954,0.0244732409436764,0.128280613745897,0.0646681444412043,0.557366842646418
"2010-02-02",277,0.224944220443811,0.0249790531469119,0.131260743269649,0.0661841511108117,0.570332492482648
"2010-02-03",253,0.227973235722304,0.0252901766983816,0.133023451701811,0.0670782362886398,0.577998207548475
"2010-02-04",388.4,0.212684419829663,0.0237628739620122,0.124134550826049,0.0625604220690183,0.539330332841034
"2010-02-05",429.96,0.208805210077136,0.0233949351805483,0.121882977988579,0.0614118530864202,0.529530392154719
"2010-02-06",508,0.20233125325929,0.0228000985023595,0.11812914650055,0.0594927604585648,0.513186589296921
