Dates	Flow	fTHg
10d	6n	6n
2010-01-21	7215	7.01
2010-02-17	346	3.36
2010-03-09	377	3.82
2010-04-06	314	6.00
2010-05-04	435	1.36
2010-06-01	17	0.865
2010-12-30	892	5.53
2011-01-04	843	8.66
2011-01-26	51.5	4.935
2011-02-03	114	4.84
2011-02-17	353	4.84
2011-02-18	464	7.41
2011-02-28	551.7	6.26
2011-03-15	1567	0.725
2011-03-17	2432	4.97
2011-03-19	4769	5.09
2011-03-21	12001	5.15
2011-03-22	6704	2.64
2011-03-25	9847	4.34
2011-04-04	467	1.22
2011-04-26	133	1.889699248
2012-03-16	191	2.03
2012-03-17	173	5.93
2012-03-18	166	5.00
2012-03-20	155	3.35
2012-03-28	180	1.83
2012-03-29	156	5.65
2012-04-04	312	5.27
2012-04-13	207	1.34
2012-12-02	312	11.60
2012-12-03	1982	10.80
2012-12-05	616	9.93
2012-12-22	184	2.99
2012-12-23	2350	11.40
2012-12-27	1448	5.21
2013-01-16	190	2.26
2013-02-04	170	2.25
2013-02-21	71.4	1.60
2013-04-01	19.7	2.67
2014-12-20	1298.35	9.77
2015-01-16	28.3	5.03
2015-01-29	104	9.10
2015-02-08	544	14.20
2015-02-09	724	7.09
2015-02-10	1883	11.50
2016-01-20	80.5	8.71
2016-01-23	56.1	6.32
2016-01-24	82.7	4.67
2016-02-02	503	4.39
2016-02-03	455	6.585
2016-02-04	349	7.48
2016-03-07	535	7.10
2016-03-08	557	10.62
2016-03-09	783	9.76
2016-03-10	738	8.45
2016-03-12	4185	8.50
2016-03-13	3530	9.08
2016-03-14	3610	6.15
2016-03-15	2870	6.48
2016-03-17	2660	2.81
2016-04-06	470	2.83
2016-12-15	2.25	5.94
2016-12-16	18.4	3.59
2016-12-17	432	12.40
2017-01-09	13400.75	10.40
2017-01-10	3990.75	6.85
2017-01-11	10400.75	8.35
2017-02-01	3030.73	1.31
2017-02-08	14100.73	6.375
2017-02-10	10400.72	6.08
2017-02-21	11500.71	5.50
2017-03-16	2866	1.65
2017-04-04	268	1.74
2017-04-26	224	2.045
2018-03-22	47.1	1.26
2018-04-08	219	2.32
2019-01-30	560	5.29
2019-02-05	1611	9.00
2019-02-14	12719	9.70
2019-02-27	13023	12.90
2019-02-28	17347	8.03
2019-03-01	8281	2.24
2019-03-05	5567	1.7
2019-03-07	10261	3.49
2019-03-28	4668	2.14
2019-04-17	948	1.485
