"Period","Ndays","Flux","Std.Err","SEP","L95","U95"
"WY 2010",160,0.000906464588764875,0.000168666730233,0.000276044850434377,0.000483724449779346,0.001554488845944
"WY 2011",171,0.00300564554611231,0.000606189274801437,0.000810771711364671,0.0017261955339357,0.00487844038230182
"WY 2012",138,7.95535922554948e-05,1.0639006875504e-05,2.01439703223409e-05,4.73114371318971e-05,0.000125708379310163
"WY 2013",165,0.000402168516076452,4.78490074090994e-05,0.000128727313363199,0.000207674877442802,0.000706434719777986
"WY 2014",91,3.99163862371674e-06,1.65107500976145e-06,4.27881075198759e-06,4.90343273277791e-07,1.5120046463793e-05
"WY 2015",314,0.000145851822487646,1.62037100428051e-05,9.9287449000999e-05,3.59726726214345e-05,0.000404096536998602
"WY 2016",214,0.000284447290125549,3.45077498375817e-05,0.000194794204463776,6.96029391888672e-05,0.000791337980008869
"WY 2017",216,0.00393990257287413,0.000619978557338648,0.00123443897398759,0.00206380647781681,0.00684909764305122
"WY 2018",213,1.22146136898347e-05,2.53608742753634e-06,8.30646365525528e-06,3.01668712275609e-06,3.38178209390335e-05
"WY 2019",212,0.00243829130333827,0.000448441714926144,0.00092336360271131,0.00111268570029039,0.00467301664160287
