"Date","Flow","Flux","Std.Err","SEP","L95","U95"
"2010-01-01",0,0,0,0,0,0
"2010-01-02",0,0,0,0,0,0
"2010-01-03",0,0,0,0,0,0
"2010-01-04",0,0,0,0,0,0
"2010-01-05",0,0,0,0,0,0
"2010-01-06",0,0,0,0,0,0
"2010-01-07",0,0,0,0,0,0
"2010-01-08",0,0,0,0,0,0
"2010-01-09",0,0,0,0,0,0
"2010-01-10",0,0,0,0,0,0
"2010-01-11",0,0,0,0,0,0
"2010-01-12",0,0,0,0,0,0
"2010-01-13",0,0,0,0,0,0
"2010-01-14",0,0,0,0,0,0
"2010-01-15",0,0,0,0,0,0
"2010-01-16",0,0,0,0,0,0
"2010-01-17",0,0,0,0,0,0
"2010-01-18",0,0,0,0,0,0
"2010-01-19",10.2,2.70592110297661e-05,8.7717299188911e-06,2.26347574753191e-05,4.87272805258635e-06,8.84060275232012e-05
"2010-01-20",109.62,0.000220327919403314,3.34232198728512e-05,0.000173156254725497,4.35863833362061e-05,0.000688502679867596
"2010-01-21",5048,0.017773311140236,0.00353409819241522,0.0141537286263593,0.00344780900308964,0.0560656043084346
"2010-01-22",3729,0.0119888870367273,0.00221091123781617,0.0095055984413435,0.00234090248105493,0.037700719093955
"2010-01-23",1520,0.00390752341253332,0.00062286393694683,0.00307688442596701,0.000770796684045489,0.0122275036349811
"2010-01-24",632,0.00139715972987343,0.000208798769827311,0.0010974281679293,0.000276617578989475,0.00436427282184633
"2010-01-25",435,0.000920651003402611,0.000135424518767349,0.000722736187906395,0.000182427740509415,0.00287465570830909
"2010-01-26",4621,0.0158147826563545,0.00306713280309318,0.0125749261069379,0.00307483175749183,0.049833355206057
"2010-01-27",3084,0.00939272717449048,0.00166101990354957,0.00743096680749986,0.00183993328367766,0.0294908053610692
"2010-01-28",1097,0.00264235021872176,0.000407996964919774,0.00207802322342047,0.000522205170044883,0.00826103386332257
"2010-01-29",642,0.0014205849163849,0.000212050480206691,0.00111578060602949,0.000281273059471553,0.00443731108358204
"2010-01-30",471,0.00100385894240147,0.00014779769154285,0.000788081733546787,0.000198906130980535,0.00313453660538911
"2010-01-31",378,0.00078851820547851,0.000115222154482184,0.000618865240439318,0.000156298847501377,0.00246167596024218
"2010-02-01",321,0.000660812683682376,9.61564338022246e-05,0.000518560884403885,0.000131013296475521,0.00206277845782883
"2010-02-02",277,0.000564606406162838,8.19546067289744e-05,0.000443027208864254,0.000111953349852723,0.0017623565162733
"2010-02-03",253,0.000512997692003033,7.43968189004991e-05,0.000402519312514581,0.000101724674925609,0.00160123065895503
"2010-02-04",388.4,0.000811392131816052,0.000118474145899454,0.000636800910838606,0.000160839157327341,0.00253303831166359
"2010-02-05",429.96,0.000906604693930368,0.00013274463991093,0.000711594709986055,0.000179687212267682,0.00283047160885896
