Dates	Flow	pMeHg
10d	6n	6n
2012-12-03	659	0.974874052
2012-12-05	343	0.449830904
2012-12-23	2100	0.6645
2012-12-24	4710	1.892292994
2012-12-27	1060	0.392
2014-12-12	0.0005	1.27
2014-12-13	4350	0.474045977
2014-12-15	912	0.229
2014-12-20	1350	0.115333333
2015-02-09	215	0.742218605
2015-02-10	1540	0.245
2016-03-12	3590	0.238
2016-03-13	3210	0.2205
2016-03-14	3165	0.328872038
2016-03-15	2415	0.142043478
2016-03-17	2030	0.162
2017-01-05	0.0005	0.297
2017-01-09	13366.66667	1.290289277
2017-01-10	4505	1.036415094
2017-01-11	9460	0.7155
2017-01-14	3790	0.3195
2017-01-19	3790	0.539
2017-01-20	7940	1.048100756
2017-01-21	9840	0.867886179
2017-01-23	11650	0.572811159
2017-01-26	4303.333333	0.123512781
2017-02-01	3030	0.134
2017-02-08	14200	0.6825
2017-02-10	10100	0.5965
2017-02-21	11350	0.554198238
2017-03-16	2630	0.125
2017-04-04	33	0.440181818
2019-01-17	3065	0.863425775
2019-01-18	8315	0.467775105
2019-02-05	967	0.28467425
2019-02-14	11333.33333	1.765352941
2019-02-15	15200	1.5275
2019-02-27	12066.66667	1.34160221
2019-02-28	15950	0.851755486
2019-03-01	7945	0.356444305
2019-03-05	4830	0.225
2019-03-07	9480	0.390168776
2019-03-28	3940	0.225
2019-04-17	251	0.165
