"Date","Flow","Flux","Std.Err","SEP","L95","U95"
"2012-11-10",0,0,0,0,0,0
"2012-11-11",0,0,0,0,0,0
"2012-11-12",0,0,0,0,0,0
"2012-11-13",0,0,0,0,0,0
"2012-11-14",0,0,0,0,0,0
"2012-11-15",0,0,0,0,0,0
"2012-11-16",0,0,0,0,0,0
"2012-11-17",0,0,0,0,0,0
"2012-11-18",0,0,0,0,0,0
"2012-11-19",0,0,0,0,0,0
"2012-11-20",0,0,0,0,0,0
"2012-11-21",0,0,0,0,0,0
"2012-11-22",0,0,0,0,0,0
"2012-11-23",0,0,0,0,0,0
"2012-11-24",0,0,0,0,0,0
"2012-11-25",0,0,0,0,0,0
"2012-11-26",0,0,0,0,0,0
"2012-11-27",0,0,0,0,0,0
"2012-11-28",0,0,0,0,0,0
"2012-11-29",0,0,0,0,0,0
"2012-11-30",0,0,0,0,0,0
"2012-12-01",0,0,0,0,0,0
"2012-12-02",0,0,0,0,0,0
"2012-12-03",1210,1441675.17893216,498362.438255762,1676261.98191865,145021.785594787,6093688.1490826
"2012-12-04",369,220700.006043319,82507.2512514606,258527.792885116,21900.0243620686,937590.51023248
"2012-12-05",281,145991.620941075,56340.1397666837,171584.953699113,14398.3416392913,621614.08457564
"2012-12-06",386,236108.736369574,87753.4706558486,276413.881800401,23454.5105514274,1002647.35706063
"2012-12-07",321,178192.039108492,67618.2577184001,209056.042685457,17631.9647151311,757798.804836166
"2012-12-08",157,61744.5322369677,25656.8003889416,73189.6316545284,5994.7261435777,264421.956819224
"2012-12-09",87.3,26821.1952672416,12031.8322158777,32114.433135149,2556.05848761007,115644.953540724
"2012-12-10",58.9,15618.700854342,7358.90907928969,18835.977358803,1468.76037509925,67669.34299697
"2012-12-11",39.2,9069.5859055921,4481.78568371626,11020.9711373961,840.966843313066,39494.717692315
"2012-12-12",24,4815.65584115841,2507.29786247864,5904.82507607189,439.07544949064,21097.173720074
"2012-12-13",9.87,1627.81366000719,916.529534334439,2026.24206992751,144.294974215237,7203.01433175188
"2012-12-14",0.18,33.2286770279955,20.7637100950425,42.3308241042893,2.81970212822888,149.294520147877
"2012-12-15",0,0,0,0,0,0
"2012-12-16",0,0,0,0,0,0
"2012-12-17",0,0,0,0,0,0
"2012-12-18",0,0,0,0,0,0
"2012-12-19",0,0,0,0,0,0
"2012-12-20",0,0,0,0,0,0
"2012-12-21",0,0,0,0,0,0
"2012-12-22",268,134396.630714872,51853.8923653536,157953.478909347,13255.3790536783,572234.715666713
"2012-12-23",2020,3318765.29823389,1154309.33619026,3860896.38748048,333509.432068636,14033012.5143834
"2012-12-24",5570,18892151.1746145,7682355.64316925,22335726.7932559,1843062.39268097,80763347.1697537
"2012-12-25",1860,2887343.00730413,997340.10838838,3356938.94282198,290481.219648824,12203689.2883498
"2012-12-26",1110,1233471.0701513,421062.160583541,1432604.35402273,124327.824993204,5209745.97906359
"2012-12-27",909,892580.041034936,306311.554038287,1037155.87035244,89892.0450339525,3771123.71717052
"2012-12-28",763,674093.906887857,233328.732329658,783872.291396062,67794.4079987238,2849492.86204795
"2012-12-29",1080,1177420.2668437,401439.477169757,1367360.99369413,118700.997370384,4972651.09132489
"2012-12-30",1170,1340121.87060517,456105.900360761,1556072.95923029,135141.264724223,5659209.4428572
"2012-12-31",1090,1193542.13674957,406397.79842705,1385925.66122065,120351.417113893,5040347.62906664
"2013-01-01",1130,1264647.77597238,430099.886170633,1468343.37906626,127545.108590307,5340257.86869172
"2013-01-02",1140,1282029.56902763,435705.623021242,1488435.32037275,129312.367807347,5413434.39300954
"2013-01-03",1150,1299496.3146562,441336.287451248,1508624.79361165,131088.372410032,5486966.90198104
"2013-01-04",1040,1103069.64042873,375137.587517189,1280736.94848442,111249.752601179,4657950.4931117
"2013-01-05",703,588643.888376948,204029.482840087,684589.305503734,59187.4820899188,2488488.41655106
"2013-01-06",465,307868.581108713,110678.156059383,359251.875834565,30766.2271051402,1304487.41123142
"2013-01-07",344,193741.886280467,72042.4848533131,226825.974594835,19244.1363989675,822762.084734791
"2013-01-08",283,144135.37725649,54893.0610004552,169164.769966583,14252.1366757868,613123.796005622
"2013-01-09",206,89792.3224985481,35640.4005534043,105862.168182367,8805.2057802046,383131.419582542
"2013-01-10",153,58134.0955125559,24014.2863458457,68860.2146166454,5651.71384872905,248838.653170843
"2013-01-11",120,41006.5288382663,17501.4761751718,48771.4511597831,3956.63534554515,176010.941037163
"2013-01-12",103,33012.6915621631,14378.2831812332,39368.3837233774,3169.72470972089,141953.594837164
"2013-01-13",87.4,26214.7204027811,11666.1925247044,31353.329122348,2503.41764318736,112945.25749262
"2013-01-14",66,17789.0042091272,8207.39185685168,21385.9298280413,1682.64906395144,76909.5972242229
"2013-01-15",40.3,9176.71605181975,4494.47319514991,11134.843168876,853.221140253928,39922.1032833453
"2013-01-16",32.2,6842.37978680523,3436.6494637281,8337.2691012888,631.237741327514,29850.4357129042
"2013-01-17",22.9,4424.7128566622,2303.40095813751,5425.3127894843,403.451225561845,19384.1157661976
"2013-01-18",14.4,2491.24066978715,1354.74398419606,3079.61948588626,223.716344998721,10973.1868541302
"2013-01-19",6.98,1061.70549815731,610.545383563698,1327.39178808979,93.3393730799288,4711.67856911636
"2013-01-20",0.86,121.900212850852,75.9936743744552,155.204181977031,10.3551802050449,547.488540554521
"2013-01-21",0,0,0,0,0,0
"2013-01-22",0,0,0,0,0,0
"2013-01-23",0,0,0,0,0,0
"2013-01-24",0,0,0,0,0,0
"2013-01-25",0,0,0,0,0,0
"2013-01-26",0,0,0,0,0,0
"2013-01-27",0,0,0,0,0,0
"2013-01-28",0,0,0,0,0,0
"2013-01-29",0,0,0,0,0,0
"2013-01-30",0,0,0,0,0,0
"2013-01-31",0,0,0,0,0,0
"2013-02-01",0,0,0,0,0,0
"2013-02-02",0,0,0,0,0,0
"2013-02-03",0,0,0,0,0,0
"2013-02-04",0,0,0,0,0,0
"2013-02-05",0,0,0,0,0,0
"2013-02-06",0,0,0,0,0,0
"2013-02-07",0,0,0,0,0,0
"2013-02-08",0,0,0,0,0,0
"2013-02-09",0,0,0,0,0,0
"2013-02-10",0,0,0,0,0,0
"2013-02-11",0,0,0,0,0,0
"2013-02-12",0,0,0,0,0,0
"2013-02-13",0,0,0,0,0,0
"2013-02-14",0,0,0,0,0,0
"2013-02-15",0,0,0,0,0,0
"2013-02-16",0,0,0,0,0,0
"2013-02-17",0,0,0,0,0,0
"2013-02-18",0,0,0,0,0,0
"2013-02-19",0,0,0,0,0,0
"2013-02-20",0,0,0,0,0,0
"2013-02-21",0,0,0,0,0,0
"2013-02-22",0,0,0,0,0,0
"2013-02-23",0,0,0,0,0,0
"2013-02-24",0,0,0,0,0,0
"2013-02-25",0,0,0,0,0,0
"2013-02-26",0,0,0,0,0,0
"2013-02-27",0,0,0,0,0,0
"2013-02-28",0,0,0,0,0,0
"2013-03-01",0,0,0,0,0,0
