Dates	Flow	fTHg
10d	6n	6n
2012-12-03	659	9.248528073
2012-12-05	343	10.36530612
2012-12-23	2100	7.775
2012-12-24	4710	11.14607219
2012-12-27	1060	8.075
2014-12-12	0.0005	15.7
2014-12-13	4350	16.37045977
2014-12-15	912	11.6
2014-12-20	1350	9.746666667
2015-02-09	215	10.10744186
2015-02-10	1540	11.05
2016-03-12	3590	8.705
2016-03-13	3210	8.91
2016-03-14	3165	7.610616114
2016-03-15	2415	6.495072464
2016-03-17	2030	4.3
2017-01-05	0.0005	4.29
2017-01-09	13366.66667	7.155336658
2017-01-10	4505	7.714006659
2017-01-11	9460	7.355
2017-01-14	3790	5.445
2017-01-19	3790	2.5
2017-01-20	7940	5.037380353
2017-01-21	9840	5.633373984
2017-01-23	11650	5.559141631
2017-01-26	4303.333333	2.192176607
2017-02-01	3030	1.403333333
2017-02-08	14200	5.23
2017-02-10	10100	5.635
2017-02-21	11350	3.626563877
2017-03-16	2630	1.685
2017-04-04	33	1.87530303
2019-01-17	3065	5.441272431
2019-01-18	8315	7.678370415
2019-02-05	967	7.655563599
2019-02-14	11333.33333	11.76047059
2019-02-15	15200	13.8275
2019-02-27	12066.66667	7.272596685
2019-02-28	15950	7.781097179
2019-03-01	7945	4.616324733
2019-03-05	4830	2.055
2019-03-07	9480	2.86769339
2019-03-28	3940	1.81
2019-04-17	251	1.405
