"Date","Flow","Flux","Std.Err","SEP","L95","U95"
"2012-11-10",0,0,0,0,0,0
"2012-11-11",0,0,0,0,0,0
"2012-11-12",0,0,0,0,0,0
"2012-11-13",0,0,0,0,0,0
"2012-11-14",0,0,0,0,0,0
"2012-11-15",0,0,0,0,0,0
"2012-11-16",0,0,0,0,0,0
"2012-11-17",0,0,0,0,0,0
"2012-11-18",0,0,0,0,0,0
"2012-11-19",0,0,0,0,0,0
"2012-11-20",0,0,0,0,0,0
"2012-11-21",0,0,0,0,0,0
"2012-11-22",0,0,0,0,0,0
"2012-11-23",0,0,0,0,0,0
"2012-11-24",0,0,0,0,0,0
"2012-11-25",0,0,0,0,0,0
"2012-11-26",0,0,0,0,0,0
"2012-11-27",0,0,0,0,0,0
"2012-11-28",0,0,0,0,0,0
"2012-11-29",0,0,0,0,0,0
"2012-11-30",0,0,0,0,0,0
"2012-12-01",0,0,0,0,0,0
"2012-12-02",0,0,0,0,0,0
"2012-12-03",1210,0.0012735138738286,0.000210951025997555,0.00109377012304368,0.000215314794079383,0.004334844879062
"2012-12-04",369,0.000298606742613878,7.08619009191712e-05,0.000261433157402912,4.89709318137193e-05,0.00103072519001341
"2012-12-05",281,0.000215579399491335,5.48501111742961e-05,0.000189775695010273,3.50473191144693e-05,0.000747096415691257
"2012-12-06",386,0.000315212041952485,7.39077217012209e-05,0.000275730080978943,5.17663183812887e-05,0.00108735090369249
"2012-12-07",321,0.000252685607668504,6.21812398885153e-05,0.000221839882702058,4.12578021127556e-05,0.000873968187293808
"2012-12-08",157,0.000108452003220773,3.14770447609857e-05,9.66648217550317e-05,1.72828304254667e-05,0.000379254776014531
"2012-12-09",87.3,5.49552733830084e-05,1.78295685902142e-05,4.96262297586306e-05,8.57454820054732e-06,0.000194008293536454
"2012-12-10",58.9,3.50984675490725e-05,1.2141307958794e-05,3.19736026343811e-05,5.39885770901391e-06,0.000124696899561335
"2012-12-11",39.2,2.22121084256888e-05,8.1454169349009e-06,2.04143534309148e-05,3.36758336395584e-06,7.94219258840487e-05
"2012-12-12",24,1.29114569294568e-05,5.0302307331549e-06,1.19874101936094e-05,1.92513979123363e-06,4.65063023643202e-05
"2012-12-13",9.87,4.95493262375441e-06,2.10262020877126e-06,4.6751942845619e-06,7.19306848350164e-07,1.8056621303537e-05
"2012-12-14",0.18,9.89586159062235e-08,4.65706545999795e-08,9.55180619950171e-08,1.38298859522268e-08,3.6656828378608e-07
"2012-12-15",0,0,0,0,0,0
"2012-12-16",0,0,0,0,0,0
"2012-12-17",0,0,0,0,0,0
"2012-12-18",0,0,0,0,0,0
"2012-12-19",0,0,0,0,0,0
"2012-12-20",0,0,0,0,0,0
"2012-12-21",0,0,0,0,0,0
"2012-12-22",268,0.000203763233239472,5.24472045733498e-05,0.000179549215800306,3.3074549272042e-05,0.000706649246089365
"2012-12-23",2020,0.00241592888492805,0.000343211520787116,0.00206471319241239,0.000411658151482138,0.00819387086484855
"2012-12-24",5570,0.00878267850444057,0.00120315860065534,0.00749862366976925,0.00149879325044115,0.0297663099311678
"2012-12-25",1860,0.00217803186956655,0.000316320319224812,0.00186256068762217,0.000370758382047046,0.0073903752724393
"2012-12-26",1110,0.0011443421939423,0.000194915339464648,0.000983877738937055,0.000193150379811513,0.00389819106931636
"2012-12-27",909,0.000894117686108762,0.000162450432560126,0.00077081698376689,0.000150273868276375,0.00305179600112241
"2012-12-28",763,0.000721021242653498,0.000138499016598584,0.00062321424447665,0.000120682483745847,0.00246566553936088
"2012-12-29",1080,0.00110617725179763,0.000190094470868568,0.000951398643669826,0.000186605074610927,0.00376914749530033
"2012-12-30",1170,0.00122149012213032,0.000204541493953115,0.00104951707536514,0.000206386155498512,0.00415900047146839
"2012-12-31",1090,0.00111886814646258,0.000191702118284206,0.000962199425919652,0.000188781378423776,0.00381205975027152
"2013-01-01",1130,0.00116993809876059,0.000198126082782284,0.00100565748246054,0.000197541016081827,0.00398472780119056
"2013-01-02",1140,0.00118278132453355,0.000199730631846587,0.00101658506015283,0.000199744365339451,0.00402814685202057
"2013-01-03",1150,0.00119565451174371,0.000201334688833584,0.00102753760263302,0.000201953025917662,0.0040716656575459
"2013-01-04",1040,0.00105572537625555,0.00018365594983848,0.000908454603402925,0.000177955314424524,0.00359853444137324
"2013-01-05",703,0.00065221408999792,0.000128523128751871,0.000564469950827192,0.000108942412271238,0.00223246784695915
"2013-01-06",465,0.000394545730735119,8.78822789418363e-05,0.000343915512179823,6.51590178122087e-05,0.00135754030786868
"2013-01-07",344,0.000274507316246393,6.63559857323375e-05,0.00024066551185537,4.49196868838483e-05,0.000948490612017509
"2013-01-08",283,0.000217408160675978,5.52188839240076e-05,0.00019135768845397,3.53528667913282e-05,0.00075335420997519
"2013-01-09",206,0.000149206980860813,4.08394360535465e-05,0.000132207776610241,2.40044159111885e-05,0.00051954105116104
"2013-01-10",153,0.00010522913265669,3.07047763589453e-05,9.38454798675698e-05,1.6753898083843e-05,0.000368136228011371
"2013-01-11",120,7.93117744300371e-05,2.42842291505337e-05,7.11136417886322e-05,1.25182008519493e-05,0.000278553274028915
"2013-01-12",103,6.64694534254036e-05,2.09406442764338e-05,5.98023237754324e-05,1.04334790634084e-05,0.000234027902182768
"2013-01-13",87.4,5.50274868855591e-05,1.7849457243662e-05,4.96901688969556e-05,8.58617235122637e-06,0.000194259621282297
"2013-01-14",66,3.99334846225902e-05,1.35710383387962e-05,3.62866465348484e-05,6.16785987535387e-06,0.000141615853790575
"2013-01-15",40.3,2.29089299576976e-05,8.36971663871176e-06,2.10423348583993e-05,3.47659619490372e-06,8.18784454555527e-05
"2013-01-16",32.2,1.78492113522302e-05,6.71455637808874e-06,1.64727562105138e-05,2.68776033621822e-06,6.40137537659338e-05
"2013-01-17",22.9,1.22649110204661e-05,4.80355981881622e-06,1.13977421049225e-05,1.82593226036228e-06,4.42072189176143e-05
"2013-01-18",14.4,7.41557952573812e-06,3.04539555305442e-06,6.95190904916364e-06,1.08811497656477e-06,2.68981117497276e-05
"2013-01-19",6.98,3.44086912864877e-06,1.49817285491994e-06,3.26389626536162e-06,4.95112546424227e-07,1.25871974003893e-05
"2013-01-20",0.86,4.22043172094681e-07,1.9913783264994e-07,4.07624113351963e-07,5.89203880191895e-08,1.56405789615189e-06
"2013-01-21",0,0,0,0,0,0
"2013-01-22",0,0,0,0,0,0
"2013-01-23",0,0,0,0,0,0
"2013-01-24",0,0,0,0,0,0
"2013-01-25",0,0,0,0,0,0
"2013-01-26",0,0,0,0,0,0
"2013-01-27",0,0,0,0,0,0
"2013-01-28",0,0,0,0,0,0
"2013-01-29",0,0,0,0,0,0
"2013-01-30",0,0,0,0,0,0
"2013-01-31",0,0,0,0,0,0
"2013-02-01",0,0,0,0,0,0
"2013-02-02",0,0,0,0,0,0
"2013-02-03",0,0,0,0,0,0
"2013-02-04",0,0,0,0,0,0
"2013-02-05",0,0,0,0,0,0
