"Period","Ndays","Flux","Std.Err","SEP","L95","U95"
"WY 2010",151,341791.822248378,83176.7165655956,841329.713791017,8306.35785630991,1992335.64616648
"WY 2011",113,2039300.42508158,509091.931478606,1405668.39294192,494700.559814647,5698921.27334753
"WY 2012",138,0,0,NA,NA,NA
"WY 2013",164,220064.157742728,53303.4274722619,617523.285556129,4081.02022321191,1337208.84955607
"WY 2014",91,0,0,NA,NA,NA
"WY 2015",305,123507.191177849,29918.6193842122,566604.33119801,837.452814659144,826207.011357316
"WY 2016",213,166758.465030018,40392.0675199493,703725.627863989,1339.01982083067,1104157.9073016
"WY 2017",216,3107118.33487306,792011.806178822,2324878.92160997,673342.549063081,9191616.12441112
"WY 2018",213,0,0,NA,NA,NA
"WY 2019",212,1991341.70738631,500631.992975075,2082303.39844152,255304.936235012,7419439.14898736
