"Period","Ndays","Flux","Std.Err","SEP","L95","U95"
"WY 2010",151,6.34062273555479e-05,9.12249584752001e-06,4.37202311305142e-05,1.53742664546979e-05,0.000177233635115256
"WY 2011",113,0.000279537009432014,3.66854962290228e-05,6.12197905804875e-05,0.000178659140546346,0.000417356804371042
"WY 2012",138,0,0,NA,NA,NA
"WY 2013",164,3.89747816874769e-05,3.49442457884039e-06,2.25468958886898e-05,1.17692737119017e-05,9.67044569245718e-05
"WY 2014",91,0,0,NA,NA,NA
"WY 2015",305,1.88422060556785e-05,1.44184860343156e-06,1.95005645323901e-05,2.45871002916678e-06,6.97195661738677e-05
"WY 2016",213,2.19049227707068e-05,1.76680099474229e-06,1.95695714466854e-05,3.63998252775619e-06,7.33095589627038e-05
"WY 2017",216,0.000235776991823517,1.82085247829395e-05,4.46841961723814e-05,0.00016030170965562,0.000334764623304321
"WY 2018",213,0,0,NA,NA,NA
"WY 2019",212,0.000138989912481219,1.47537672972973e-05,4.31988591762832e-05,7.31932664528006e-05,0.000240683941982876
