"Date","Flow","Conc","Std.Err","SEP","L95","U95"
"2010-01-01",0,0,0,0,0,0
"2010-01-02",0,0,0,0,0,0
"2010-01-03",0,0,0,0,0,0
"2010-01-04",0,0,0,0,0,0
"2010-01-05",0,0,0,0,0,0
"2010-01-06",0,0,0,0,0,0
"2010-01-07",0,0,0,0,0,0
"2010-01-08",0,0,0,0,0,0
"2010-01-09",0,0,0,0,0,0
"2010-01-10",0,0,0,0,0,0
"2010-01-11",0,0,0,0,0,0
"2010-01-12",0,0,0,0,0,0
"2010-01-13",0,0,0,0,0,0
"2010-01-14",0,0,0,0,0,0
"2010-01-15",0,0,0,0,0,0
"2010-01-16",0,0,0,0,0,0
"2010-01-17",0,0,0,0,0,0
"2010-01-18",0,0,0,0,0,0
"2010-01-19",0,0,0,0,0,0
"2010-01-20",1.62,7.38251969895392,1.7417499636678,6.33441162232305,1.26603776632059,24.7947439136092
"2010-01-21",4840,6.64723474373123,0.754652996288925,5.53535114433727,1.1941853040406,21.8494610377672
"2010-01-22",3580,6.68050975942166,0.739457296836525,5.5605053097649,1.20101202648608,21.9515712497712
"2010-01-23",1400,6.78164610073026,0.722575083839936,5.64102075450677,1.22041312354538,22.2734730671834
"2010-01-24",522,6.88371110958244,0.759308180164335,5.72928879521167,1.23765981152157,22.6182760227211
"2010-01-25",322,6.93204714281549,0.797235410153741,5.77392901360599,1.24488544527235,22.7896370139213
"2010-01-26",4460,6.6562944226347,0.750106370770618,5.542138081596,1.19606441487238,21.8770869070935
"2010-01-27",2940,6.70203801177204,0.731956205724078,5.57711848373174,1.2053164593313,22.0185978177775
"2010-01-28",949,6.8223993854379,0.730292124511538,5.67535290180786,1.22760283247353,22.4085544881161
"2010-01-29",484,6.89134593206357,0.764416614431384,5.73621020353859,1.23884406666255,22.6449745427649
"2010-01-30",313,6.93484891404989,0.799838427613683,5.7765780629135,1.24528392812774,22.7997446183225
"2010-01-31",224,6.96762131873342,0.833526723098249,5.80809348623267,1.24977033338427,22.9194771914071
"2010-02-01",168,6.9953650863336,0.866637998768784,5.83557024802993,1.25330602343174,23.0231008110616
"2010-02-02",123,7.02496962897599,0.906495669669174,5.86575025976158,1.2567968523502,23.1361154452801
"2010-02-03",100,7.04435673166799,0.935072098921816,5.88602419317825,1.25891639310516,23.2115711434613
"2010-02-04",48.4,7.11058447081821,1.04702413180395,5.95862083085613,1.26507424880592,23.4787902706221
"2010-02-05",0.96,7.41849382275371,1.8671413184072,6.39841040778301,1.26188218450007,25.0087440475655
"2010-02-06",126,7.02269882301478,0.903275645506093,5.86340254192632,1.2565398013369,23.1273537664749
"2010-02-07",161,6.99943481350045,0.871842830214063,5.83966517643755,1.25380354887301,23.0384839933838
"2010-02-08",110,7.035457733921,0.921714670753884,5.8766664458968,1.25796032472226,23.1767892706401
