"Date","Flow","Conc","Std.Err","SEP","L95","U95"
"2010-01-01",0,0,0,0,0,0
"2010-01-02",0,0,0,0,0,0
"2010-01-03",0,0,0,0,0,0
"2010-01-04",0,0,0,0,0,0
"2010-01-05",0,0,0,0,0,0
"2010-01-06",0,0,0,0,0,0
"2010-01-07",0,0,0,0,0,0
"2010-01-08",0,0,0,0,0,0
"2010-01-09",0,0,0,0,0,0
"2010-01-10",0,0,0,0,0,0
"2010-01-11",0,0,0,0,0,0
"2010-01-12",0,0,0,0,0,0
"2010-01-13",0,0,0,0,0,0
"2010-01-14",0,0,0,0,0,0
"2010-01-15",0,0,0,0,0,0
"2010-01-16",0,0,0,0,0,0
"2010-01-17",0,0,0,0,0,0
"2010-01-18",0,0,0,0,0,0
"2010-01-19",0,0,0,0,0,0
"2010-01-20",1.62,0.16425698970447,0.0664586683285976,0.173804445992295,0.0198175422718899,0.642300296446088
"2010-01-21",4840,0.644154065541005,0.089323679285729,0.636101743296359,0.0875407363002721,2.39976170753592
"2010-01-22",3580,0.578169629045338,0.0773390609925274,0.570551000523915,0.0786647180222015,2.15289654173882
"2010-01-23",1400,0.423662159305551,0.0638017688089454,0.419105589563565,0.0574037053735322,1.58030261966339
"2010-01-24",522,0.319238062960011,0.062584587405039,0.318336421904238,0.0426718637839514,1.1975242747857
"2010-01-25",322,0.282709664175323,0.0625020030412389,0.283387833807801,0.0374540948960051,1.06441310738952
"2010-01-26",4460,0.625312368431966,0.0855219522064977,0.617329740173243,0.0850188295568916,2.32912552965229
"2010-01-27",2940,0.539908072702015,0.0721399068931068,0.532782637518397,0.073461485258815,2.01039489998358
"2010-01-28",949,0.376875427829147,0.062860814279004,0.373800132894601,0.0508378274492039,1.40838846722343
"2010-01-29",484,0.312990589896228,0.0625752540746005,0.312347822284475,0.0417817648278226,1.17472893446155
"2010-01-30",313,0.280801127431293,0.0624940566876843,0.281566316536565,0.0371805881273415,1.05746982390389
"2010-01-31",224,0.260011407669023,0.0623649660144834,0.261754978094456,0.0341955096372597,0.981914067295196
"2010-02-01",168,0.2444646693713,0.0622058046240913,0.246978852034669,0.0319561275659288,0.925511171637435
"2010-02-02",123,0.229749299958281,0.0619979433803853,0.233028024010488,0.0298303708303025,0.87221226728494
"2010-02-03",100,0.22107732841849,0.0618497644221355,0.224825402841808,0.0285744431416719,0.840849175269098
"2010-02-04",48.4,0.196591755458145,0.0613724568497315,0.201770952457151,0.0250104217629934,0.752557048984802
"2010-02-05",0.96,0.168704969236856,0.0693383394522008,0.17892671809744,0.020271398521706,0.660760001489573
"2010-02-06",126,0.230813559641949,0.0620148654492026,0.234035710625024,0.0299843301742641,0.876063822350078
"2010-02-07",161,0.242331061311026,0.0621791844576412,0.244953847429585,0.031648296936046,0.917777663582418
