Dates	Flow
10d	6n
2010-01-01	0.000
2010-01-02	0.000
2010-01-03	0.000
2010-01-04	0.000
2010-01-05	0.000
2010-01-06	0.000
2010-01-07	0.000
2010-01-08	0.000
2010-01-09	0.000
2010-01-10	0.000
2010-01-11	0.000
2010-01-12	0.000
2010-01-13	0.000
2010-01-14	0.000
2010-01-15	0.000
2010-01-16	0.000
2010-01-17	0.000
2010-01-18	0.000
2010-01-19	0.000
2010-01-20	1.620
2010-01-21	4840.000
2010-01-22	3580.000
2010-01-23	1400.000
2010-01-24	522.000
2010-01-25	322.000
2010-01-26	4460.000
2010-01-27	2940.000
2010-01-28	949.000
2010-01-29	484.000
2010-01-30	313.000
2010-01-31	224.000
2010-02-01	168.000
2010-02-02	123.000
2010-02-03	100.000
2010-02-04	48.400
2010-02-05	0.960
2010-02-06	126.000
2010-02-07	161.000
2010-02-08	110.000
2010-02-09	45.600
2010-02-10	9.310
2010-02-11	0.220
2010-02-12	0.000
2010-02-13	0.000
2010-02-14	0.000
2010-02-15	0.000
2010-02-16	0.000
2010-02-17	0.000
2010-02-18	0.000
2010-02-19	0.000
2010-02-20	0.000
2010-02-21	0.000
2010-02-22	0.000
2010-02-23	0.000
2010-02-24	0.000
2010-02-25	0.000
2010-02-26	0.000
2010-02-27	0.000
2010-02-28	0.000
2010-03-01	0.000
2010-03-02	0.000
2010-03-03	0.000
2010-03-04	0.000
2010-03-05	0.210
2010-03-06	15.800
2010-03-07	16.300
2010-03-08	3.640
2010-03-09	0.000
2010-03-10	0.000
2010-03-11	0.000
2010-03-12	0.000
2010-03-13	0.000
2010-03-14	0.000
2010-03-15	0.000
2010-03-16	0.000
2010-03-17	0.000
2010-03-18	0.000
2010-03-19	0.000
2010-03-20	0.000
2010-03-21	0.000
2010-03-22	0.000
2010-03-23	0.000
2010-03-24	0.000
2010-03-25	0.000
2010-03-26	0.000
2010-03-27	0.000
2010-03-28	0.000
2010-03-29	0.000
2010-03-30	0.000
2010-03-31	0.000
2010-04-01	0.000
2010-04-02	0.000
2010-04-03	0.000
2010-04-04	0.000
2010-04-05	0.000
2010-04-06	0.000
2010-04-07	0.000
2010-04-08	0.000
2010-04-09	0.000
2010-04-10	0.000
2010-04-11	0.000
2010-04-12	0.000
2010-04-13	0.000
2010-04-14	158.000
2010-04-15	1600.000
2010-04-16	2230.000
2010-04-17	2260.000
2010-04-18	2210.000
2010-04-19	2070.000
2010-04-20	2030.000
2010-04-21	1330.000
2010-04-22	225.000
2010-04-23	64.600
2010-04-24	18.500
2010-04-25	0.330
2010-04-26	0.000
2010-04-27	0.000
2010-04-28	0.000
2010-04-29	0.000
2010-04-30	0.000
2010-05-01	0.000
2010-05-02	0.000
2010-05-03	0.000
2010-05-04	0.000
2010-05-05	4.880
2010-05-06	128.000
2010-05-07	22.300
2010-05-08	0.000
2010-05-09	0.000
2010-05-10	0.000
2010-05-11	0.000
2010-05-12	0.000
2010-05-13	0.000
2010-05-14	0.000
2010-05-15	0.000
2010-05-16	0.000
2010-05-17	0.000
2010-05-18	0.000
2010-05-19	0.000
2010-05-20	0.000
2010-05-21	0.000
2010-05-22	0.000
2010-05-23	0.000
2010-05-24	0.000
2010-05-25	0.000
2010-05-26	0.000
2010-05-27	0.000
2010-05-28	0.000
2010-05-29	0.000
2010-05-30	0.000
2010-05-31	0.000
2010-12-29	2.480
2010-12-30	570.000
2010-12-31	354.000
2011-01-01	215.000
2011-01-02	177.000
2011-01-03	407.000
2011-01-04	639.000
2011-01-05	346.000
2011-01-06	221.000
2011-01-07	122.000
2011-01-08	105.000
2011-01-09	99.700
2011-01-10	81.800
2011-01-11	50.600
2011-01-12	43.200
2011-01-13	32.700
2011-01-14	28.800
2011-01-15	11.400
2011-01-16	6.100
2011-01-17	0.000
2011-01-18	0.000
2011-01-19	0.000
2011-01-20	0.000
2011-01-21	0.000
2011-01-22	0.000
2011-01-23	0.000
2011-01-24	0.000
2011-01-25	0.000
2011-01-26	0.000
2011-01-27	0.000
2011-01-28	0.000
2011-01-29	0.000
2011-01-30	0.000
2011-01-31	0.000
2011-02-01	0.000
2011-02-02	0.000
2011-02-03	0.000
2011-02-04	0.000
2011-02-05	0.000
2011-02-06	0.000
2011-02-07	0.000
2011-02-08	0.000
2011-02-09	0.000
2011-02-10	0.000
2011-02-11	0.000
2011-02-12	0.000
2011-02-13	0.000
2011-02-14	0.000
2011-02-15	0.000
2011-02-16	0.000
2011-02-17	0.000
2011-02-18	1.240
2011-02-19	260.000
2011-02-20	316.000
2011-02-21	319.000
