Dates	Flow	pTHg	
10d	6n	6n	
2010-12-30	479.000	44.600	
2011-01-04	579.000	7.000	
2011-02-28	65.200	8.670	
2011-03-15	985.000	3.388	
2011-03-17	1750.000	6.220	
2011-03-19	4210.000	68.300	
2011-03-21	11300.000	193.000	
2011-03-22	6060.000	49.550	
2011-03-25	9380.000	215.000	
2011-04-04	3650.000	12.800	
2012-12-03	960.000	228.000	
2012-12-05	358.000	40.900	
2012-12-23	2100.000	92.000	
2012-12-24	5020.000	250.000	
2012-12-27	1060.000	21.100	
2014-12-12	0.001	739.000	
2014-12-13	4300.000	241.000	
2014-12-15	912.000	184.000	
2014-12-16	1470.000	36.000	
2014-12-20	1350.000	25.750	
2015-02-09	226.000	131.000	
2015-02-10	1540.000	81.800	
2016-01-24	31.000	9.625	
2016-03-10	204.000	22.400	
2016-03-12	3590.000	88.200	
2016-03-13	3210.000	62.600	
2016-03-14	3120.000	68.800	
2016-03-15	2380.000	44.600	
2016-03-17	2030.000	24.900	
2017-01-05	0.001	25.000	
2017-01-09	13300.000	386.000	
2017-01-10	4300.000	175.000	
2017-01-11	9460.000	216.000	
2017-01-14	3790.000	45.300	
2017-01-19	3790.000	50.300	
2017-01-20	8120.000	149.000	
2017-01-21	9680.000	283.000	
2017-01-23	11700.000	194.000	
2017-01-26	70980.000	4200.000	
2017-02-01	27754.800	3030.000	
2017-02-08	14200.000	268.000	
2017-02-10	10100.000	196.000	
2017-02-21	11200.000	236.000	
2017-03-16	2630.000	3.860	
2017-04-04	35.000	18.800	
2019-01-17	4900.000	126.000	
2019-01-18	7870.000	120.000	
2019-02-05	1080.000	47.100	
2019-02-14	11700.000	347.500	
2019-02-15	15200.000	473.000	
2019-02-27	12200.000	181.000	
2019-02-28	16000.000	224.000	
2019-03-01	7810.000	46.100	
2019-03-05	4830.000	23.600	
2019-03-07	9400.000	63.500	
2019-03-28	3940.000	10.100	
2019-04-17	251.000	2.540	
