Dates	Flow	wwMeHg	
10d	6n	6n	
2010-12-30	479.000	0.901	
2011-01-04	579.000	0.243	
2011-02-28	65.200	1.195	
2011-03-15	985.000	0.313	
2011-03-17	1750.000	0.298	
2011-03-19	4210.000	0.961	
2011-03-21	11300.000	1.780	
2011-03-22	6060.000	0.297	
2011-03-25	9380.000	1.425	
2011-04-04	3650.000	0.310	
2012-12-03	960.000	1.270	
2012-12-05	358.000	0.538	
2012-12-23	2100.000	0.627	
2012-12-24	5020.000	1.640	
2012-12-27	1060.000	0.284	
2014-12-12	0.001	1.300	
2014-12-13	4300.000	0.506	
2014-12-15	912.000	0.427	
2014-12-20	1350.000	0.138	
2015-02-09	226.000	0.623	
2015-02-10	1540.000	0.366	
2016-01-24	31.000	0.151	
2016-03-12	3590.000	0.358	
2016-03-13	3210.000	0.295	
2016-03-14	3120.000	0.398	
2016-03-15	2380.000	0.199	
2016-03-17	2030.000	0.244	
2017-01-05	0.001	0.367	
2017-01-09	13300.000	1.760	
2017-01-10	4300.000	0.962	
2017-01-11	9460.000	0.861	
2017-01-14	3790.000	0.294	
2017-01-19	3790.000	0.388	
2017-01-20	8120.000	0.522	
2017-01-21	9680.000	1.280	
2017-01-23	11700.000	0.791	
2017-01-26	4200.000	0.111	
2017-02-01	3030.000	0.123	
2017-02-08	14200.000	0.742	
2017-02-10	10100.000	0.846	
2017-02-21	11200.000	0.694	
2017-03-16	2630.000	0.123	
2017-04-04	35.000	0.665	
2019-01-17	4900.000	1.100	
2019-01-18	7870.000	0.660	
2019-02-05	1080.000	0.400	
2019-02-14	11700.000	1.700	
2019-02-15	15200.000	1.940	
2019-02-27	12200.000	1.080	
2019-02-28	16000.000	0.973	
2019-03-01	7810.000	0.301	
2019-03-05	4830.000	0.210	
2019-03-07	9400.000	0.385	
2019-03-28	3940.000	0.170	
2019-04-17	251.000	0.200	
