"Date","Flow","Conc","Std.Err","SEP","L95","U95"
"2010-01-01",0,0,0,0,0,0
"2010-01-02",0,0,0,0,0,0
"2010-01-03",0,0,0,0,0,0
"2010-01-04",0,0,0,0,0,0
"2010-01-05",0,0,0,0,0,0
"2010-01-06",0,0,0,0,0,0
"2010-01-07",0,0,0,0,0,0
"2010-01-08",0,0,0,0,0,0
"2010-01-09",0,0,0,0,0,0
"2010-01-10",0,0,0,0,0,0
"2010-01-11",0,0,0,0,0,0
"2010-01-12",0,0,0,0,0,0
"2010-01-13",0,0,0,0,0,0
"2010-01-14",0,0,0,0,0,0
"2010-01-15",0,0,0,0,0,0
"2010-01-16",0,0,0,0,0,0
"2010-01-17",0,0,0,0,0,0
"2010-01-18",0,0,0,0,0,0
"2010-01-19",0,0,0,0,0,0
"2010-01-20",1.62,0.354917797029555,0.131709208917084,0.322375658353226,0.0553653744560221,1.24665898561595
"2010-01-21",4840,1.05358320228269,0.282395325802985,0.917982825831983,0.17569082884496,3.59156767469812
"2010-01-22",3580,0.96607628135078,0.24760835022641,0.8383216613371,0.162138804416724,3.28361648630318
"2010-01-23",1400,0.752881313461027,0.180013062675769,0.649611876442116,0.127497728311949,2.54849513494837
"2010-01-24",522,0.599940620715682,0.147494611025737,0.518786130403227,0.101247082517271,2.03401008017798
"2010-01-25",322,0.544160158355844,0.138822552688297,0.472009221131483,0.0913860034295516,1.8490178848951
"2010-01-26",4460,1.02795383017761,0.271423611398825,0.894398633510394,0.171797582383028,3.50066179700272
"2010-01-27",2940,0.91372705227702,0.228324221141052,0.791182139570478,0.15387769635219,3.10084304606291
"2010-01-28",949,0.684853913591146,0.163594495743902,0.5908730369604,0.115990663021604,2.31810288675646
"2010-01-29",484,0.589984437142044,0.145554534547457,0.510321285685239,0.0995223715500375,2.00066409973883
"2010-01-30",313,0.540730459890283,0.138085721214403,0.469074915204722,0.0907975878268934,1.83747888117731
"2010-01-31",224,0.508317860457323,0.13381481800671,0.442153447340471,0.084990141609678,1.7307145736
"2010-02-01",168,0.483741846161539,0.130897581937735,0.4218650317055,0.0805506943075357,1.65011089710893
"2010-02-02",123,0.460212397231915,0.128366748104302,0.402552095071935,0.0762685103144108,1.57325091854718
"2010-02-03",100,0.446187811033478,0.126966516629544,0.391092819862128,0.0737016626173767,1.52758371086453
"2010-02-04",48.4,0.406214376333286,0.123648640980262,0.35875186257867,0.0662970470868319,1.39831100697409
"2010-02-05",0.96,0.362155072883859,0.136240321735185,0.329707599616645,0.0562836141100413,1.27418454522411
"2010-02-06",126,0.461583435306588,0.128329248226628,0.403617645240262,0.0765359647355266,1.57756107931655
"2010-02-07",161,0.479840037794954,0.130194063317853,0.418571757519869,0.0798678653544874,1.63710998558917
"2010-02-08",110,0.45204429839331,0.127306934805468,0.395797628502723,0.0747975670318966,1.5464274071715
