"Date","Flow","Conc","Std.Err","SEP","L95","U95"
"2010-01-01",0,0,0,0,0,0
"2010-01-02",0,0,0,0,0,0
"2010-01-03",0,0,0,0,0,0
"2010-01-04",0,0,0,0,0,0
"2010-01-05",0,0,0,0,0,0
"2010-01-06",0,0,0,0,0,0
"2010-01-07",0,0,0,0,0,0
"2010-01-08",0,0,0,0,0,0
"2010-01-09",0,0,0,0,0,0
"2010-01-10",0,0,0,0,0,0
"2010-01-11",0,0,0,0,0,0
"2010-01-12",0,0,0,0,0,0
"2010-01-13",0,0,0,0,0,0
"2010-01-14",0,0,0,0,0,0
"2010-01-15",0,0,0,0,0,0
"2010-01-16",0,0,0,0,0,0
"2010-01-17",0,0,0,0,0,0
"2010-01-18",0,0,0,0,0,0
"2010-01-19",0,0,0,0,0,0
"2010-01-20",1.62,10.9844398800224,5.41494817679984,16.2766215791067,0.707920011444376,53.3342076730617
"2010-01-21",4840,176.143731210922,32.5267174986614,248.280384294349,12.5161601322291,829.964663261446
"2010-01-22",3580,141.686494204798,25.6374446004548,199.643495009953,10.0744300043907,667.467777261479
"2010-01-23",1400,75.8816394390688,15.1535207919782,107.113150187473,5.37670760623315,357.860376664094
"2010-01-24",522,43.0565243564153,10.6500357083923,61.1018309313624,3.01949043103952,203.713768260106
"2010-01-25",322,33.7626792185201,9.2608896230671,48.0797702404154,2.35177021219656,160.079023680215
"2010-01-26",4460,165.913437273834,30.3789006059463,233.826698609705,11.7925325854877,781.692150594395
"2010-01-27",2940,123.456524426076,22.3964510082777,173.96394752496,8.77748691235767,581.60372250519
"2010-01-28",949,60.0229439777263,12.9962510604592,84.8760330080133,4.23855964361154,283.372685681963
"2010-01-29",484,41.3870280286163,10.4086691570875,58.7627862617546,2.89951721501896,195.875888265005
"2010-01-30",313,33.3080432254257,9.18954181883635,47.4426515489121,2.31912169699352,157.944247962059
"2010-01-31",224,28.5539923019339,8.41809525230024,40.7792449167768,1.97787211534657,135.618596967134
"2010-02-01",168,25.2355170336753,7.84710354901548,36.1262666023873,1.7398868621943,120.030705031718
"2010-02-02",123,22.2800340672718,7.310935823052,31.9806470391827,1.52813955960045,106.144227329941
"2010-02-03",100,20.6223214093745,6.99713316568116,29.6546361976052,1.40947260626292,98.353623210262
"2010-02-04",48.4,16.2733998007578,6.12417958925215,23.5504176968947,1.09849879279856,77.9100358832767
"2010-02-05",0.96,11.4818215681294,5.78682311122192,17.0561998882363,0.7363496077481,55.8315160700362
"2010-02-06",126,22.4877554843861,7.34956549914074,32.2720710096289,1.54301459153034,107.120344823904
"2010-02-07",161,24.7958376328929,7.76910092771421,35.5096377797309,1.70837232320081,117.965089059434
"2010-02-08",110,21.3581959364247,7.13766445655617,30.6872432890435,1.46214052419075,101.812109456886
