"Period","Ndays","Flux","Std.Err","SEP","L95","U95"
"WY 2010",160,0.000632138196841954,6.07262433398019e-05,0.000144169038239038,0.000396390761141051,0.000958250466333677
"WY 2011",171,0.00190982978834496,0.000223468743538807,0.000387575491652089,0.00126248822142186,0.00277481933738078
"WY 2012",138,7.2617988263219e-05,8.5966848567796e-06,1.78875667075383e-05,4.38185133502421e-05,0.000113461418313369
"WY 2013",165,0.000354522912021159,3.37698027134821e-05,9.75954275714271e-05,0.000201242342056069,0.000580556750290037
"WY 2014",91,2.58617121482847e-06,4.72743986150038e-07,1.60964106137585e-06,7.15296346192066e-07,6.73955683174545e-06
"WY 2015",314,0.000154077336472434,1.47274331533324e-05,9.9555243307012e-05,4.06620935624247e-05,0.000411875926285163
"WY 2016",214,0.000319032574308681,3.09577411999466e-05,0.000198095789839222,8.8498764057856e-05,0.000830062366632913
"WY 2017",216,0.00373450028262058,0.000482848664502961,0.00101692759108071,0.00213324447013717,0.00608638137430223
"WY 2018",213,1.69635007301552e-05,2.16914655522284e-06,1.0224141077979e-05,4.87952959620484e-06,4.32586487533352e-05
"WY 2019",212,0.00281159280730483,0.000349492637022552,0.000819452405585986,0.00154239704469394,0.00472389857222139
