Dates	Flow	SSC
10d	6n	6n
2014-10-28	4	25
2014-11-03	0.001	35
2014-11-07	6	41
2014-11-12	18	49
2014-11-13	22	36
2014-11-14	23	45
2014-11-19	24	34
2014-11-20	24	8
2014-11-21	23	30
2014-11-22	36	24
2014-11-23	29	3
2014-11-28	22	6
2014-11-29	27	125
2014-11-30	35	3
2014-12-01	44	10
2014-12-02	42	4
2014-12-03	395.86	58.52
2014-12-04	893.75	1153.26
2014-12-05	163.38	255.50
2014-12-06	514	208
2014-12-08	88	36
2014-12-10	53	8
2014-12-11	12375.33	7249.13
2014-12-12	3592.22	2177.15
2014-12-13	1137.38	441.97
2014-12-14	736.67	132.91
2014-12-18	1240.00	197.00
2014-12-19	2100.00	1307.94
2014-12-20	1560	1020
2014-12-31	312	6
2015-01-05	262	5
2015-01-11	231	5
2015-01-13	222	10
2015-01-16	217	13
2015-01-22	204	3
2015-01-29	186	2
2015-02-04	182	3
2015-02-05	182	5
2015-02-06	1137.33	457.74
2015-02-07	4072.50	3116.73
2015-02-08	2280.00	3064.69
2015-02-09	1690.00	914.21
2015-02-10	1007.33	249.95
2015-02-14	401	13
2015-02-20	279.00	9.49
2015-02-26	236	5
2015-03-04	204	6
2015-03-09	188	3
2015-03-15	178	4
2015-03-20	163	4
2015-03-24	167	3
2015-03-26	155	16
2015-04-01	142	3
2015-04-05	144	7
2015-04-07	171	5
2015-04-08	187	4
2015-04-13	137	5
2015-04-19	128	4
2015-04-24	123	5
2015-04-30	120	7
2015-05-06	674	62
2015-05-22	715	67
2015-06-01	328.45	37.98
2015-10-15	10	31
2015-11-17	14	20
2015-12-10	20	7
2015-12-19	18	104
2015-12-21	29	33
2015-12-22	300.70	679.26
2015-12-23	203.57	430.37
2016-01-05	335.25	552.00
2016-01-06	495.14	1203.33
2016-01-07	496.33	724.75
2016-01-08	171	77
2016-01-13	103	20
2016-01-17	522.00	323.72
2016-01-18	1315.86	2214.42
2016-01-19	1228.38	1382.08
2016-01-20	831.33	527.19
2016-01-27	155	61
2016-01-30	163	32
2016-02-04	100	16
2016-02-06	86	13
2016-02-11	69	11
2016-02-14	62	7
2016-02-17	63.50	4.00
2016-02-18	81	5
2016-02-21	100	18
2016-02-25	71	8
2016-02-27	64	9
2016-03-02	58	7
2016-03-05	508.00	1630.69
2016-03-06	2401.44	14474.62
2016-03-07	3715.00	6163.47
2016-03-08	846.33	743.66
2016-03-09	618.00	244.31
2016-03-10	1657.63	2044.50
2016-03-11	3911.82	1770.87
2016-03-12	3368.75	2184.29
2016-03-13	2802.50	1271.72
2016-03-14	2635.00	877.59
2016-03-15	1710.00	810.83
2016-03-16	3122.50	1113.34
2016-03-17	3054.00	729.37
2016-03-18	2917.50	666.56
2016-03-19	1229.00	545.00
2016-03-20	1476.67	420.76
2016-03-25	873	166
2016-03-26	1080.00	213.90
2016-03-27	1075.00	182.07
2016-03-28	1035.00	167.85
2016-03-29	1015.00	161.51
2016-03-30	1020.00	138.65
2016-03-31	1010.00	511.00
2016-04-07	361	23
2016-04-22	427	62
2016-04-26	396	41
2016-04-30	505	66
2016-05-02	534	57
2016-05-05	620.00	52.97
2016-05-13	534	45
2016-05-15	614	60
2016-05-17	641.00	46.51
2016-05-19	673	52
2016-05-21	707	58
2016-05-31	727	39
2016-10-13	19	5
2016-10-28	33	5
2016-11-15	22	5
2016-11-20	107	22
2016-11-21	61	32
2016-11-22	43	21
2016-12-10	474.33	630.39
