Dates	Flow	SSC
10d	6n	6n
2010-01-21	4704.34	1352.26
2010-01-22	3109.08	710.00
2010-01-25	550.55	96.64
2010-01-26	7684.79	2614.81
2010-01-27	2002.61	530.00
2010-02-02	287.94	23.00
2010-02-03	258.77	25.00
2010-02-08	454.28	175.00
2010-02-11	324.93	40.00
2010-02-12	278.96	35.00
2010-02-17	161.28	14.48
2010-02-19	140.00	9.00
2010-02-24	175.43	9.00
2010-02-26	236.70	39.00
2010-03-02	292.09	26.00
2010-03-05	744.34	197.50
2010-03-08	395.89	22.00
2010-03-09	355.85	11.00
2010-03-11	305.20	16.00
2010-03-15	281.64	15.00
2010-03-19	203.43	77.00
2010-03-30	117.55	13.00
2010-04-02	148.89	64.00
2010-04-06	427.54	85.00
2010-04-07	288.24	31.00
2010-04-08	226.59	15.00
2010-04-12	1202.86	113.00
2010-04-13	2217.28	562.85
2010-04-14	2527.03	970.52
2010-04-15	3713.52	989.00
2010-04-21	1355.43	462.00
2010-04-22	480.53	73.50
2010-04-27	221.66	10.00
2010-04-30	201.56	6.00
2010-05-04	1613.77	261.00
2010-06-01	22.19	3.00
2010-12-08	128.42	22.47
2010-12-20	597.14	154.45
2010-12-21	1420.36	294.00
2010-12-23	771.81	82.00
2010-12-30	1664.62	331.42
2011-01-04	944.32	72.40
2011-01-07	469.18	64.00
2011-01-14	218.26	22.00
2011-01-19	161.33	19.00
2011-01-21	133.94	12.00
2011-01-26	87.99	5.00
2011-01-27	80.45	8.00
2011-01-28	74.61	8.00
2011-01-31	65.87	19.00
2011-02-03	56.32	4.00
2011-02-08	36.20	37.00
2011-02-11	29.09	9.00
2011-02-17	1375.65	481.00
2011-02-18	2070.18	500.00
2011-02-19	1203.66	248.00
2011-02-24	318.85	24.00
2011-02-28	339.87	26.00
2011-03-01	288.89	29.00
2011-03-04	614.75	73.00
2011-03-07	1115.66	247.00
2011-03-11	2027.55	539.67
2011-03-15	1758.40	252.00
2011-03-16	2426.87	679.00
2011-03-17	2724.38	578.60
2011-03-19	4124.68	1022.19
2011-03-22	5013.24	944.29
2011-03-25	11129.99	1991.04
2011-03-28	6030.61	946.00
2011-04-04	3925.75	288.00
2011-04-06	3728.85	678.00
2011-04-08	3612.43	686.00
2011-04-13	2672.22	315.00
2011-04-18	447.26	76.00
2011-04-22	228.06	24.00
2011-04-25	101.81	47.00
2011-04-26	99.31	1.00
2011-04-28	62.48	13.00
2011-05-06	52.29	19.00
2011-05-09	76.36	17.00
2011-05-11	51.60	19.00
2011-05-12	48.88	18.00
2011-05-16	66.27	4.00
2011-05-18	121.85	10.00
2011-05-20	60.21	31.00
2011-05-24	28.99	52.00
2011-06-02	32.73	60.00
2011-10-26	0.001	13.00
2011-12-29	9.40	7.00
2012-01-23	192.07	4.00
2012-01-24	663.07	95.33
2012-01-25	197.20	84.00
2012-02-15	31.62	14.00
2012-03-06	29.92	10.00
2012-03-14	23.90	11.00
2012-03-15	364.63	40.00
2012-03-16	294.69	28.00
2012-03-17	280.84	16.49
2012-03-18	389.86	31.00
2012-03-20	218.75	15.00
2012-03-23	131.15	44.00
2012-03-26	206.29	49.00
2012-03-28	1718.12	779.67
2012-03-29	1228.51	265.00
2012-04-03	359.69	41.00
2012-04-05	256.84	34.00
2012-04-12	173.06	44.00
