"Date","Flow","Flux","Std.Err","SEP","L95","U95"
"2014-10-01",3,29.7727018272415,8.89551674045385,64.2415244000196,0.937848827762105,167.11248660683
"2014-10-02",3,30.1222016836856,8.93446702623611,64.9866178009819,0.949129165681155,169.064620935696
"2014-10-03",3,30.4713646117874,8.97183757006325,65.7308455343852,0.960403162362815,171.014714694573
"2014-10-04",3,30.8199708639392,9.00762044970519,66.4737434352639,0.971663597019812,172.961545037623
"2014-10-05",3,31.1677959650498,9.04181130321606,67.2148375911265,0.982903085887179,174.903863074129
"2014-10-06",3,31.5146109177214,9.0744094313475,67.9536447712783,0.994114089077089,176.840395006114
"2014-10-07",3,31.860182423314,9.10541788964178,68.6896728888281,1.00528891798426,178.769843353405
"2014-10-08",3,32.204273118227,9.13484356910676,69.4224214939628,1.01641974322019,180.690888262391
"2014-10-09",3,32.5466418256897,9.16269726441493,70.1513822991151,1.02749860308529,182.602188900129
"2014-10-10",3,32.8870438226834,9.18899372850784,70.8760397352371,1.0385174125666,184.502384931679
"2014-10-11",3,33.2252311217937,9.21375171250322,71.5958715387719,1.04946797285381,186.390098079598
"2014-10-12",3,33.560952767508,9.23699398978668,72.3103493683109,1.06034198135729,188.263933762878
"2014-10-13",3,33.8939551470011,9.25874736322229,73.0189394510598,1.07113104222867,190.122482815615
"2014-10-14",3,34.2239823144102,9.27904265436744,73.721103257021,1.08182667735069,191.964323279874
"2014-10-15",3,34.5507763285261,9.29791467367772,74.4162982007724,1.0924203377926,193.788022272362
"2014-10-16",3,34.874077603173,9.31540217069155,75.1039783693419,1.10290341570639,195.592137920922
"2014-10-17",3,35.1936252697174,9.33154776325446,75.7835952750311,1.11326725664415,197.375221367751
"2014-10-18",3,35.5091575508725,9.34639784490481,76.4545986314678,1.12350317226799,199.13581883477
"2014-10-19",3,35.8204121454629,9.3600024696583,77.1164371522318,1.13360245343978,200.872473749309
"2014-10-20",3,36.1271266228315,9.3724152134865,77.768559369309,1.14355638364617,202.583728922852
"2014-10-21",3,36.4290388264432,9.3836930119549,78.4104144704934,1.15335625274237,204.268128780396
"2014-10-22",3,36.7258872856567,9.39389597359795,79.0414531536123,1.16299337097915,205.924221634772
"2014-10-23",3,37.0174116345952,9.40308716877648,79.6611284953811,1.17245908327612,207.550562000047
"2014-10-24",3,37.3033530374947,9.4113323939573,80.2688968336319,1.1817447837187,209.145712940611
"2014-10-25",3,37.5834546189963,9.41869991152566,80.864218659739,1.19084193022659,210.708248447479
"2014-10-26",4,64.6614780598234,15.7432548957161,139.072060056864,2.05042007024011,362.462223646627
"2014-10-27",4,65.120027122584,15.7426977446383,140.045637262885,2.06534402336588,365.019130375331
"2014-10-28",4,65.5673510073914,15.7408294107829,140.995317949739,2.07990466569785,367.513374819439
"2014-10-29",0,0,0,0,0,0
"2014-10-30",0,0,0,0,0,0
"2014-10-31",0,0,0,0,0,0
"2014-11-01",0,0,0,0,0,0
"2014-11-02",0,0,0,0,0,0
"2014-11-03",0,0,0,0,0,0
"2014-11-04",8,248.251844365785,53.8314711399704,533.225066646664,7.8935629290442,1390.82838158256
"2014-11-05",8,249.509823679698,53.7035318008822,535.886798973756,7.93478791722199,1397.83309167842
"2014-11-06",7,195.574966569617,42.2272553069517,420.061055507895,6.21917403718967,1095.68715077018
"2014-11-07",6,147.484812151776,32.0601064707816,316.793560178445,4.68927128491577,826.290687765157
"2014-11-08",7,197.322430341078,42.0556671646291,423.759478162311,6.27640975849503,1105.41848267799
"2014-11-09",7,198.130372791929,41.970548404107,425.469113549694,6.30288320880248,1109.9174148988
"2014-11-10",8,254.980201147787,53.0568632918453,547.456055963234,8.1142240784052,1428.2875356269
"2014-11-11",12,543.975239760414,108.886928385215,1167.53444894132,17.3233667731722,3046.67315613111
"2014-11-12",18,1159.89400763412,224.741420948323,2488.79910218636,36.9586347522807,6495.55386907588
"2014-11-13",21,1549.62294259493,295.541883571756,3324.62303643922,49.3897623012381,8677.63299105166
"2014-11-14",24,1991.94193766568,374.507323786438,4273.11586402493,63.5019294023155,11154.0363449738
"2014-11-15",27,2486.02727548433,461.25964405428,5332.49350606396,79.2693980663769,13920.133167973
"2014-11-16",23,1850.06015122802,342.669040899866,3968.3017523134,58.9925314017786,10359.0766806815
"2014-11-17",20,1429.99699034822,264.899438922822,3067.28681381911,45.5979623458613,8007.01231723715
"2014-11-18",20,1432.80496824939,263.543837360464,3073.14838693662,45.6924279877785,8022.56205360021
"2014-11-19",22,1713.46345440332,311.06164541118,3674.76830502476,54.6533624843058,9593.65016992439
"2014-11-20",26,2340.79001361024,417.74264506775,5019.55550455905,74.6813080500816,13105.3916552017
"2014-11-21",27,2513.97739741603,444.496793629008,5390.59191230208,80.2172458997002,14074.6476844083
"2014-11-22",35,4075.96688688933,706.19128273574,8738.70314580152,130.094117729184,22818.2681287829
"2014-11-23",30,3063.05248362256,530.919580579654,6567.07491609259,97.7640088267213,17147.7427747667
"2014-11-24",30,3064.57124458816,527.70372631045,6570.05073010279,97.8210542805073,17155.9444426422
"2014-11-25",26,2349.38934340543,406.168323975319,5036.92175186053,74.9884875966856,13152.3848517253
"2014-11-26",24,2024.50344959572,350.513714272759,4340.43112121592,64.6174215439143,11333.6483799612
"2014-11-27",22,1721.60157052084,299.154600703309,3691.11279087913,54.9468202177543,9638.02620281687
"2014-11-28",22,1720.67685626061,297.901146122391,3689.04179868795,54.9200094155579,9632.75455411265
"2014-11-29",27,2516.17958311059,425.669596008676,5393.76338714194,80.3349158168654,14085.3134742632
"2014-11-30",35,4072.14999216869,671.360101657839,8727.82500150958,130.054712468179,22794.0087275419
"2014-12-01",44,6223.02842227817,1005.0763945511,13336.2046002345,198.797296294469,34831.9221575773
"2014-12-02",43,5953.97891951287,958.401097640751,12759.3781351632,190.209814067429,33325.7213551802
"2014-12-03",646,907145.997412444,165091.275949757,1945539.39179698,28933.659634161,5079130.74638852
"2014-12-04",821,1411863.55213781,262952.244280853,3028513.57309642,45016.0136764723,7905608.41874559
"2014-12-05",129,45554.6903155147,7004.89366207289,97599.6249607513,1456.05833889661,254953.696962083
"2014-12-06",337,269951.432431189,43786.3116773795,578531.066262141,8623.28209549311,1511004.09922643
"2014-12-07",180,84127.1812482086,12872.5603460676,180235.534615412,2689.08504782116,470825.572890058
"2014-12-08",84,20376.9275652854,3079.03059938297,43653.1221587839,651.423334570556,114038.399283391
"2014-12-09",64,12256.0467163462,1869.58519335519,26257.1573301343,391.771225183894,68591.66182131
"2014-12-10",54,8907.10011261988,1372.74197628579,19083.4312550095,284.68958422894,49850.1693096959
"2014-12-11",8796,111505311.131987,28563663.0149654,239986767.060602,3530870.25050858,625222245.610749
"2014-12-12",3067,15842559.2659619,3353839.94982485,34020416.9851002,503986.690542818,88749077.2679897
