Dates	Flow	SSC
10d	6n	6n
2016-12-11	180.00	210.00
2016-12-13	37.00	27.00
2016-12-16	2110.00	1340.00
2016-12-17	832.00	207.00
2016-12-21	40.10	13.00
2016-12-22	26.30	22.00
2016-12-27	22.30	14.00
2016-12-29	11.30	12.00
2017-01-04	895.00	986.00
2017-01-06	271.00	147.00
2017-01-08	4450.00	1880.00
2017-01-09	12200.00	1650.00
2017-01-11	12800.00	1940.00
2017-01-13	4290.00	889.00
2017-01-14	3450.00	761.00
2017-01-17	2950.00	544.00
2017-01-19	7210.00	2620.00
2017-01-20	6970.00	1950.00
2017-01-21	7170.00	983.00
2017-01-23	7510.00	1010.00
2017-01-24	4890.00	743.00
2017-01-26	3580.00	919.00
2017-01-30	3260.00	631.00
2017-02-02	3250.00	506.00
2017-02-06	4700.00	1060.00
2017-02-08	9310.00	1340.00
2017-02-10	9630.00	1270.00
2017-02-13	4620.00	992.00
2017-02-16	4160.00	753.00
2017-02-21	12400.00	1743.33
2017-02-23	6150.00	1160.00
2017-02-27	4680.00	849.00
2017-03-02	4000.00	694.00
2017-03-06	3800.00	759.00
2017-03-09	3600.00	493.00
2017-03-13	3130.00	387.00
2017-03-16	2990.00	339.00
2017-03-20	2680.00	341.00
2017-03-23	1970.00	446.00
2017-03-27	1810.00	285.00
2017-03-29	1680.00	265.00
2017-04-03	674.00	323.00
2017-04-04	551.00	97.00
2017-04-05	456.00	314.00
2017-04-10	1450.00	226.00
2017-04-13	1530.00	167.00
2017-04-17	1610.00	269.00
2017-04-20	1260.00	200.00
2017-04-24	627.00	200.00
2017-04-26	364.00	195.00
2017-04-27	300.00	195.00
2017-05-01	235.00	189.00
2017-05-03	118.00	81.00
2017-10-01	26.40	13.00
2017-10-04	18.30	28.00
2017-10-09	22.50	12.00
2017-10-13	12.50	31.00
2017-10-16	16.90	31.00
2017-10-19	15.90	21.00
2017-10-23	25.20	18.00
2017-10-26	21.20	15.00
2017-10-30	20.10	18.00
2017-11-01	14.30	29.00
2017-11-05	25.70	32.00
2017-11-07	15.60	20.00
2017-11-14	8.16	18.00
2017-11-17	11.80	19.00
2017-11-20	13.10	23.00
2017-11-22	9.07	26.00
2017-11-27	9.33	24.00
2017-12-02	10.40	53.00
2017-12-04	10.20	55.00
2017-12-07	9.64	46.00
2017-12-11	7.92	52.00
2017-12-13	7.50	53.00
2017-12-18	7.55	52.00
2017-12-21	7.81	53.00
2017-12-25	8.60	32.00
2017-12-28	6.65	28.00
2018-01-01	7.34	48.00
2018-01-04	9.24	34.00
2018-01-09	55.20	314.50
2018-01-10	52.50	73.50
2018-01-12	40.20	57.00
2018-01-16	20.10	46.00
2018-01-19	15.40	38.00
2018-01-23	16.60	55.00
2018-01-26	29.60	53.00
2018-02-08	11.30	33.00
2018-02-12	9.62	13.00
2018-02-20	7.14	25.00
2018-03-02	18.90	36.00
2018-03-07	23.00	9.00
2018-03-15	17.90	33.00
2018-03-23	805.00	497.00
2018-03-25	156.00	44.00
2018-04-07	407.00	549.00
2018-04-08	670.00	200.00
2018-04-10	158.00	47.00
2018-04-16	9.74	34.00
2018-04-29	1.21	43.00
2018-10-02	8.38	6.00
2018-10-03	14.00	3.00
2018-10-09	4.81	1.00
2018-11-30	26.50	16.50
2018-12-04	14.60	52.00
2018-12-20	11.60	197.00
2019-01-17	7440.00	2660.00
2019-01-18	2440.00	611.00
2019-01-30	163.00	36.00
2019-01-31	149.00	45.00
2019-02-03	1730.00	919.00
2019-02-05	1730.00	429.00
2019-02-07	582.00	322.00
2019-02-12	369.00	63.00
2019-02-13	4000.00	3370.00
2019-02-14	17700.00	2180.00
2019-02-15	9490.00	1390.00
2019-02-22	2850.00	223.00
2019-02-27	20500.00	3413.33
2019-02-28	10500.00	1690.00
2019-03-01	6120.00	1140.00
2019-03-05	5090.00	672.00
2019-03-06	6900.00	1400.00
2019-03-07	7130.00	998.00
2019-03-12	5000.00	588.00
2019-03-14	4450.00	550.00
2019-03-22	3930.00	512.00
2019-03-25	3700.00	584.00
2019-03-28	4560.00	805.50
2019-04-03	3650.00	501.00
2019-04-04	3570.00	431.00
2019-04-09	3090.00	269.00
2019-04-15	1260.00	348.00
2019-04-17	944.00	220.00
2019-04-23	460.00	101.00
2019-04-25	335.00	93.00
2019-04-30	108.00	77.00
2019-05-06	46.30	81.00
