"Date","Flow","Flux","Std.Err","SEP","L95","U95"
"2016-10-01",0,0,0,0,0,0
"2016-10-02",0,0,0,0,0,0
"2016-10-03",0,0,0,0,0,0
"2016-10-04",17.6,543.969331998176,184.115818157377,424.961769477981,109.434085337013,1679.13871530204
"2016-10-05",2.27,34.3020733352237,17.2967120269284,29.7067708569252,5.90391793053016,113.882914453062
"2016-10-06",0,0,0,0,0,0
"2016-10-07",0,0,0,0,0,0
"2016-10-08",0,0,0,0,0,0
"2016-10-09",0,0,0,0,0,0
"2016-10-10",0,0,0,0,0,0
"2016-10-11",0,0,0,0,0,0
"2016-10-12",0,0,0,0,0,0
"2016-10-13",0,0,0,0,0,0
"2016-10-14",0,0,0,0,0,0
"2016-10-15",0,0,0,0,0,0
"2016-10-16",0,0,0,0,0,0
"2016-10-17",0,0,0,0,0,0
"2016-10-18",0,0,0,0,0,0
"2016-10-19",0,0,0,0,0,0
"2016-10-20",0,0,0,0,0,0
"2016-10-21",0,0,0,0,0,0
"2016-10-22",0,0,0,0,0,0
"2016-10-23",0,0,0,0,0,0
"2016-10-24",0,0,0,0,0,0
"2016-10-25",0,0,0,0,0,0
"2016-10-26",0,0,0,0,0,0
"2016-10-27",0,0,0,0,0,0
"2016-10-28",0,0,0,0,0,0
"2016-10-29",0,0,0,0,0,0
"2016-10-30",0,0,0,0,0,0
"2016-10-31",0,0,0,0,0,0
"2016-11-01",0,0,0,0,0,0
"2016-11-02",0,0,0,0,0,0
"2016-11-03",0,0,0,0,0,0
"2016-11-04",0,0,0,0,0,0
"2016-11-05",0,0,0,0,0,0
"2016-11-06",0,0,0,0,0,0
"2016-11-07",0,0,0,0,0,0
"2016-11-08",0,0,0,0,0,0
"2016-11-09",0,0,0,0,0,0
"2016-11-10",0,0,0,0,0,0
"2016-11-11",0,0,0,0,0,0
"2016-11-12",0,0,0,0,0,0
"2016-11-13",0,0,0,0,0,0
"2016-11-14",0,0,0,0,0,0
"2016-11-15",0,0,0,0,0,0
"2016-11-16",0,0,0,0,0,0
"2016-11-17",0,0,0,0,0,0
"2016-11-18",0,0,0,0,0,0
"2016-11-19",0,0,0,0,0,0
"2016-11-20",0,0,0,0,0,0
"2016-11-21",0,0,0,0,0,0
"2016-11-22",0,0,0,0,0,0
"2016-11-23",0,0,0,0,0,0
"2016-11-24",0,0,0,0,0,0
"2016-11-25",0,0,0,0,0,0
"2016-11-26",0,0,0,0,0,0
"2016-11-27",0,0,0,0,0,0
"2016-11-28",0,0,0,0,0,0
"2016-11-29",0,0,0,0,0,0
"2016-11-30",0,0,0,0,0,0
"2016-12-01",0,0,0,0,0,0
"2016-12-02",0,0,0,0,0,0
"2016-12-03",0,0,0,0,0,0
"2016-12-04",0,0,0,0,0,0
"2016-12-05",0,0,0,0,0,0
"2016-12-06",0,0,0,0,0,0
"2016-12-07",0,0,0,0,0,0
"2016-12-08",0,0,0,0,0,0
"2016-12-09",0,0,0,0,0,0
"2016-12-10",0,0,0,0,0,0
"2016-12-11",180,41603.8838924665,7593.03544574403,30261.2017456331,9270.44246565991,122107.651272311
"2016-12-12",134,26696.4603221378,4906.86124179825,19426.7635602285,5944.95647329162,78378.9886924181
"2016-12-13",37,3962.68192990779,779.897356834074,2897.05613659295,876.712016771376,11672.3652026824
"2016-12-14",15.4,1149.5853006544,255.051838760351,848.651092049697,250.885418538604,3409.46118754101
"2016-12-15",14.9,1109.79634654701,247.133785411418,819.551800010778,242.087705898173,3292.2302055559
"2016-12-16",2110,2440741.48462055,360678.075583261,1755956.3810646,552217.172354252,7108531.33557304
"2016-12-17",832,515944.550782605,81936.2049387099,372399.936466532,116206.049059615,1506109.44460046
"2016-12-18",286,92767.7052454387,15961.4590899684,67239.2814502539,20772.6360490038,271600.905171936
"2016-12-19",121,24632.0684267476,4409.07133178858,17894.9980433816,5497.88138894997,72234.1557571038
"2016-12-20",62.8,9277.05720291978,1710.73993985914,6752.24377269774,2065.27539624636,27240.8325423906
"2016-12-21",40.1,4847.10185048137,922.051998461812,3535.18571009215,1075.97612301867,14253.4750528396
"2016-12-22",26.3,2663.65796570284,530.234395061622,1948.98298853496,588.625336397527,7850.60481510302
"2016-12-23",22.1,2099.14625661673,427.697879128778,1538.6382948089,462.733587896673,6194.49545888844
"2016-12-24",34.4,3995.61324597981,765.878063594495,2915.67975657247,886.313393191012,11753.8860460465
"2016-12-25",72.1,11963.7256342808,2153.42397508504,8694.50185592166,2669.04035692575,35092.3156744776
"2016-12-26",37.7,4649.13208903673,878.328358231622,3389.2217702798,1032.70169955833,13666.8431693681
"2016-12-27",22.3,2207.29334900863,445.656891983848,1616.78004855967,487.050002441203,6510.43172000185
"2016-12-28",15.2,1297.68183470572,280.651236772177,955.823246833161,284.106954481074,3842.57839141722
"2016-12-29",11.3,866.996006668544,200.194221454032,642.436355812669,188.215760511433,2578.1475160804
"2016-12-30",8.37,579.058599849692,144.374027517605,432.519811096185,124.291019222495,1731.6571217303
