"Date","Flow","Conc","Std.Err","SEP","L95","U95"
"2016-10-01",0,0,0,0,0,0
"2016-10-02",0,0,0,0,0,0
"2016-10-03",0,0,0,0,0,0
"2016-10-04",17.6,19.154336198575,3.29341906198939,13.9497995650096,4.26132599907387,56.2581071845802
"2016-10-05",2.27,10.9318878242292,2.85656832822042,8.24698379431347,2.31383931221285,32.9156468256219
"2016-10-06",0,0,0,0,0,0
"2016-10-07",0,0,0,0,0,0
"2016-10-08",0,0,0,0,0,0
"2016-10-09",0,0,0,0,0,0
"2016-10-10",0,0,0,0,0,0
"2016-10-11",0,0,0,0,0,0
"2016-10-12",0,0,0,0,0,0
"2016-10-13",0,0,0,0,0,0
"2016-10-14",0,0,0,0,0,0
"2016-10-15",0,0,0,0,0,0
"2016-10-16",0,0,0,0,0,0
"2016-10-17",0,0,0,0,0,0
"2016-10-18",0,0,0,0,0,0
"2016-10-19",0,0,0,0,0,0
"2016-10-20",0,0,0,0,0,0
"2016-10-21",0,0,0,0,0,0
"2016-10-22",0,0,0,0,0,0
"2016-10-23",0,0,0,0,0,0
"2016-10-24",0,0,0,0,0,0
"2016-10-25",0,0,0,0,0,0
"2016-10-26",0,0,0,0,0,0
"2016-10-27",0,0,0,0,0,0
"2016-10-28",0,0,0,0,0,0
"2016-10-29",0,0,0,0,0,0
"2016-10-30",0,0,0,0,0,0
"2016-10-31",0,0,0,0,0,0
"2016-11-01",0,0,0,0,0,0
"2016-11-02",0,0,0,0,0,0
"2016-11-03",0,0,0,0,0,0
"2016-11-04",0,0,0,0,0,0
"2016-11-05",0,0,0,0,0,0
"2016-11-06",0,0,0,0,0,0
"2016-11-07",0,0,0,0,0,0
"2016-11-08",0,0,0,0,0,0
"2016-11-09",0,0,0,0,0,0
"2016-11-10",0,0,0,0,0,0
"2016-11-11",0,0,0,0,0,0
"2016-11-12",0,0,0,0,0,0
"2016-11-13",0,0,0,0,0,0
"2016-11-14",0,0,0,0,0,0
"2016-11-15",0,0,0,0,0,0
"2016-11-16",0,0,0,0,0,0
"2016-11-17",0,0,0,0,0,0
"2016-11-18",0,0,0,0,0,0
"2016-11-19",0,0,0,0,0,0
"2016-11-20",0,0,0,0,0,0
"2016-11-21",0,0,0,0,0,0
"2016-11-22",0,0,0,0,0,0
"2016-11-23",0,0,0,0,0,0
"2016-11-24",0,0,0,0,0,0
"2016-11-25",0,0,0,0,0,0
"2016-11-26",0,0,0,0,0,0
"2016-11-27",0,0,0,0,0,0
"2016-11-28",0,0,0,0,0,0
"2016-11-29",0,0,0,0,0,0
"2016-11-30",0,0,0,0,0,0
"2016-12-01",0,0,0,0,0,0
"2016-12-02",0,0,0,0,0,0
"2016-12-03",0,0,0,0,0,0
"2016-12-04",0,0,0,0,0,0
"2016-12-05",0,0,0,0,0,0
"2016-12-06",0,0,0,0,0,0
"2016-12-07",0,0,0,0,0,0
"2016-12-08",0,0,0,0,0,0
"2016-12-09",0,0,0,0,0,0
"2016-12-10",0,0,0,0,0,0
"2016-12-11",180,110.982398828915,15.8374157383543,80.1226756786632,24.99338059621,323.964550160097
"2016-12-12",134,96.7968622579224,13.3662769489473,69.794615232891,21.8364892005588,282.308679175133
"2016-12-13",37,55.5131392211764,6.09517874666398,39.7564560445555,12.6415263291951,161.133140020028
"2016-12-14",15.4,40.7389010108472,4.03155855256464,29.1112816579442,9.30545560655991,118.0656728001
"2016-12-15",14.9,40.6707125818305,4.04780492892393,29.0657488012976,9.28847278929638,117.877158500657
"2016-12-16",2110,505.885696592136,67.8311178319857,364.382598847004,114.289323933542,1474.33089130593
"2016-12-17",832,278.300361493825,39.1189461312112,200.799489933836,62.7242229093689,812.043863043215
"2016-12-18",286,151.123111765241,21.6175142372126,109.112155294255,34.028668860432,441.167037873737
"2016-12-19",121,98.3257584546823,13.2043899305563,70.826526101823,22.2120227693129,286.567105142472
"2016-12-20",62.8,73.5969293356992,8.96073685909554,52.8494693838504,16.6973416220035,214.028102940264
"2016-12-21",40.1,61.6046690347969,6.91311745558895,44.1420901823703,14.0185552377679,178.880327536115
"2016-12-22",26.3,52.8083572695664,5.54764663753485,37.78178925017,12.0421163281045,153.175050231388
"2016-12-23",22.1,49.9711676854265,5.17751783750249,35.7414073099398,11.3997649409275,144.915585082427
"2016-12-24",34.4,59.4422196025887,6.5357684475579,42.5717276680742,13.5356427450048,172.541755154817
"2016-12-25",72.1,81.470953611716,10.1483055408166,58.5429946815716,18.4666200806142,237.038395902856
"2016-12-26",37.7,62.5959151061638,7.02076139802564,44.8517934512568,14.2443666280517,181.756988241362
"2016-12-27",22.3,51.7325704891506,5.46726643425582,37.0169224037558,11.7946863013215,150.068337228548
"2016-12-28",15.2,45.6330059870753,4.87867444591773,32.6607389844667,10.4003663782266,132.398143809764
"2016-12-29",11.3,41.7516683437891,4.7240634043295,29.9227603433913,9.49819556443268,121.250921954163
"2016-12-30",8.37,38.3682256221887,4.78367251572703,27.5712115204462,8.69640420656107,111.633889055867
