Dates	Flow	SSC
10d	6n	6n
2016-12-11	415.00	210.000
2016-12-13	33.00	27.000
2016-12-16	3215.00	1342.830
2016-12-17	780.00	207.000
2016-12-21	41.00	13.000
2016-12-22	27.00	22.000
2016-12-27	23.00	14.000
2016-12-29	12.00	12.000
2017-01-04	2130.00	986.000
2017-01-06	283.00	147.000
2017-01-08	3800.00	1880.000
2017-01-09	10590.00	1650.000
2017-01-11	15900.00	1940.000
2017-01-13	4400.00	889.000
2017-01-14	3550.00	761.000
2017-01-17	2960.00	544.000
2017-01-19	8565.00	2593.656
2017-01-20	6680.00	1950.000
2017-01-21	6710.00	983.000
2017-01-23	6700.00	1010.000
2017-01-24	4890.00	743.000
2017-01-26	3790.00	919.000
2017-01-30	3260.00	631.000
2017-02-02	3210.00	506.181
2017-02-06	5080.00	1060.000
2017-02-08	8560.00	1340.000
2017-02-10	10450.00	1269.665
2017-02-13	4600.00	992.000
2017-02-16	4060.00	753.000
2017-02-21	14000.00	1743.667
2017-02-23	6120.00	1160.000
2017-02-27	4680.00	849.000
2017-03-02	4010.00	694.000
2017-03-06	3790.00	759.000
2017-03-09	3600.00	493.000
2017-03-13	3130.00	387.000
2017-03-16	2830.00	338.995
2017-03-20	2670.00	341.000
2017-03-23	1930.00	446.000
2017-03-27	1800.00	285.000
2017-03-29	1680.00	265.000
2017-04-03	669.00	323.000
2017-04-04	661.00	97.000
2017-04-05	455.00	314.000
2017-04-10	1440.00	226.000
2017-04-13	1420.00	167.000
2017-04-17	1620.00	269.000
2017-04-20	1250.00	200.000
2017-04-24	600.00	200.000
2017-04-26	358.00	195.000
2017-04-27	341.00	195.000
2017-05-01	286.00	189.000
2017-05-03	107.00	81.000
2017-10-01	30.00	13.000
2017-10-04	17.00	28.000
2017-10-09	23.00	12.000
2017-10-13	14.00	31.000
2017-10-16	19.00	31.000
2017-10-19	16.00	21.000
2017-10-23	23.00	18.000
2017-10-26	22.00	15.000
2017-10-30	19.00	18.000
2017-11-01	16.00	29.000
2017-11-05	27.00	32.000
2017-11-07	11.00	20.000
2017-11-14	8.30	18.000
2017-11-17	13.00	19.000
2017-11-20	14.00	23.000
2017-11-22	9.40	26.000
2017-11-27	10.00	24.000
2017-12-02	11.00	53.000
2017-12-04	11.00	55.000
2017-12-07	8.60	46.000
2017-12-11	7.90	52.000
2017-12-13	9.20	53.000
2017-12-18	6.70	52.000
2017-12-21	8.10	53.000
2017-12-25	7.50	32.000
2017-12-28	6.70	28.000
2018-01-01	7.00	48.000
2018-01-04	11.00	34.000
2018-01-09	73.00	309.507
2018-01-10	42.50	73.412
2018-01-12	38.00	57.000
2018-01-16	21.00	46.000
2018-01-19	16.00	38.000
2018-01-23	17.00	55.000
2018-01-26	26.00	53.000
2018-02-08	12.00	33.000
2018-02-12	9.40	13.000
2018-02-20	6.20	25.000
2018-03-02	19.00	36.000
2018-03-07	24.00	9.000
2018-03-15	17.00	33.000
2018-03-23	783.50	506.346
2018-03-25	159.00	44.000
2018-04-07	649.00	409.000
2018-04-08	752.00	200.000
2018-04-10	162.00	47.000
2018-04-16	11.00	34.000
2018-04-29	2.30	43.000
2018-10-02	9.60	6.000
2018-10-03	14.00	3.000
2018-10-09	6.50	1.000
2018-11-30	29.50	17.051
2018-12-04	15.00	52.000
2018-12-20	12.00	197.000
2019-01-17	8970.00	2660.000
2019-01-18	2490.00	611.000
2019-01-30	160.00	36.000
2019-01-31	149.00	45.000
2019-02-03	1860.00	919.000
2019-02-05	1580.00	429.000
2019-02-07	587.00	322.000
2019-02-12	365.00	63.000
2019-02-13	4860.00	3370.000
2019-02-14	16800.00	2180.000
2019-02-15	8280.00	1390.000
2019-02-22	2840.00	223.000
2019-02-27	25366.67	3409.369
2019-02-28	9480.00	1690.000
2019-03-01	6020.00	1140.000
2019-03-05	5090.00	672.000
2019-03-06	6430.00	1400.000
2019-03-07	6880.00	998.000
2019-03-12	5010.00	588.000
2019-03-14	4480.00	550.000
2019-03-22	3950.00	512.000
2019-03-25	3670.00	584.000
2019-03-28	4430.00	805.505
2019-04-03	3640.00	501.000
2019-04-04	3570.00	431.000
2019-04-09	3100.00	269.000
2019-04-15	1250.00	348.000
2019-04-17	950.00	220.000
2019-04-23	466.00	101.000
2019-04-25	381.00	93.000
2019-04-30	114.00	77.000
2019-05-06	44.00	81.000
